RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
mailLite,1,13,Misto,true,JUtil,true,805
mailLite,1,13,Misto,true,Brics,true,414
mailLite,1,13,Misto,true,JRegex,true,741
mailLite,2,17,Misto,true,JUtil,true,656
mailLite,2,17,Misto,true,Brics,true,536
mailLite,2,17,Misto,true,JRegex,true,477
mailLite,3,30,Misto,true,JUtil,true,1517
mailLite,3,30,Misto,true,Brics,true,963
mailLite,3,30,Misto,true,JRegex,true,759
mailLite,4,27,Misto,true,JUtil,true,904
mailLite,4,27,Misto,true,Brics,true,845
mailLite,4,27,Misto,true,JRegex,true,488
mailLite,5,22,Misto,true,JUtil,true,789
mailLite,5,22,Misto,true,Brics,true,851
mailLite,5,22,Misto,true,JRegex,true,498
mailLite,6,21,Misto,true,JUtil,true,798
mailLite,6,21,Misto,true,Brics,true,675
mailLite,6,21,Misto,true,JRegex,true,491
mailLite,7,18,Misto,true,JUtil,true,695
mailLite,7,18,Misto,true,Brics,true,566
mailLite,7,18,Misto,true,JRegex,true,484
mailLite,8,20,Misto,true,JUtil,true,786
mailLite,8,20,Misto,true,Brics,true,634
mailLite,8,20,Misto,true,JRegex,true,486
mailLite,9,30,Misto,true,JUtil,true,971
mailLite,9,30,Misto,true,Brics,true,960
mailLite,9,30,Misto,true,JRegex,true,491
mailLite,10,12,Misto,false,JUtil,true,1074
mailLite,10,12,Misto,false,Brics,true,402
mailLite,10,12,Misto,false,JRegex,true,445
mailLite,11,12,Misto,false,JUtil,true,187
mailLite,11,12,Misto,false,Brics,true,57
mailLite,11,12,Misto,false,JRegex,true,273
mailLite,12,17,Misto,false,JUtil,true,3867
mailLite,12,17,Misto,false,Brics,true,572
mailLite,12,17,Misto,false,JRegex,true,5081
mailLite,13,25,Misto,false,JUtil,true,817
mailLite,13,25,Misto,false,Brics,true,460
mailLite,13,25,Misto,false,JRegex,true,507
mailLite,14,19,Misto,false,JUtil,true,188
mailLite,14,19,Misto,false,Brics,true,54
mailLite,14,19,Misto,false,JRegex,true,273
mailLite,15,13,Misto,false,JUtil,true,793
mailLite,15,13,Misto,false,Brics,true,410
mailLite,15,13,Misto,false,JRegex,true,506
mailLite,16,23,Misto,false,JUtil,true,1214
mailLite,16,23,Misto,false,Brics,true,970
mailLite,16,23,Misto,false,JRegex,true,751
mailLite,17,30,Misto,true,JUtil,true,1146
mailLite,17,30,Misto,true,Brics,true,873
mailLite,17,30,Misto,true,JRegex,true,722
mailLite,18,24,Misto,false,JUtil,true,1870
mailLite,18,24,Misto,false,Brics,true,543
mailLite,18,24,Misto,false,JRegex,true,1631
mailLite,19,12,Misto,false,JUtil,true,614
mailLite,19,12,Misto,false,Brics,true,254
mailLite,19,12,Misto,false,JRegex,true,440
mailLite,20,10,Misto,false,JUtil,true,688
mailLite,20,10,Misto,false,Brics,true,332
mailLite,20,10,Misto,false,JRegex,true,564
