RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
alphaLite,1,27,Misto,true,JUtil,true,316
alphaLite,1,27,Misto,true,Brics,true,931
alphaLite,1,27,Misto,true,JRegex,true,231
alphaLite,2,14,Misto,true,JUtil,true,247
alphaLite,2,14,Misto,true,Brics,true,478
alphaLite,2,14,Misto,true,JRegex,true,196
alphaLite,3,26,Misto,true,JUtil,true,351
alphaLite,3,26,Misto,true,Brics,true,902
alphaLite,3,26,Misto,true,JRegex,true,215
alphaLite,4,28,Misto,true,JUtil,true,358
alphaLite,4,28,Misto,true,Brics,true,915
alphaLite,4,28,Misto,true,JRegex,true,229
alphaLite,5,23,Misto,false,JUtil,true,311
alphaLite,5,23,Misto,false,Brics,true,697
alphaLite,5,23,Misto,false,JRegex,true,900
alphaLite,6,28,Misto,true,JUtil,true,455
alphaLite,6,28,Misto,true,Brics,true,1089
alphaLite,6,28,Misto,true,JRegex,true,219
alphaLite,7,15,Misto,true,JUtil,true,248
alphaLite,7,15,Misto,true,Brics,true,511
alphaLite,7,15,Misto,true,JRegex,true,202
alphaLite,8,28,Misto,false,JUtil,true,282
alphaLite,8,28,Misto,false,Brics,true,649
alphaLite,8,28,Misto,false,JRegex,true,817
alphaLite,9,13,Misto,true,JUtil,true,250
alphaLite,9,13,Misto,true,Brics,true,473
alphaLite,9,13,Misto,true,JRegex,true,196
alphaLite,10,109,Misto,true,JUtil,true,1138
alphaLite,10,109,Misto,true,Brics,true,3814
alphaLite,10,109,Misto,true,JRegex,true,323
alphaLite,11,1,Misto,false,JUtil,true,138
alphaLite,11,1,Misto,false,Brics,true,48
alphaLite,11,1,Misto,false,JRegex,true,191
alphaLite,12,69,Misto,true,JUtil,true,781
alphaLite,12,69,Misto,true,Brics,true,2327
alphaLite,12,69,Misto,true,JRegex,true,269
alphaLite,13,3,Misto,false,JUtil,true,136
alphaLite,13,3,Misto,false,Brics,true,49
alphaLite,13,3,Misto,false,JRegex,true,188
alphaLite,14,22,Misto,false,JUtil,true,134
alphaLite,14,22,Misto,false,Brics,true,47
alphaLite,14,22,Misto,false,JRegex,true,188
alphaLite,15,18,Misto,true,JUtil,true,311
alphaLite,15,18,Misto,true,Brics,true,629
alphaLite,15,18,Misto,true,JRegex,true,203
alphaLite,16,101,Misto,false,JUtil,true,1532
alphaLite,16,101,Misto,false,Brics,true,3678
alphaLite,16,101,Misto,false,JRegex,true,3872
alphaLite,17,119,Misto,true,JUtil,true,1487
alphaLite,17,119,Misto,true,Brics,true,4295
alphaLite,17,119,Misto,true,JRegex,true,343
alphaLite,18,22,Misto,false,JUtil,true,133
alphaLite,18,22,Misto,false,Brics,true,54
alphaLite,18,22,Misto,false,JRegex,true,190
alphaLite,19,33,Misto,false,JUtil,true,470
alphaLite,19,33,Misto,false,Brics,true,1041
