RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
sololettereLite,1,0,Alfabetico,false,JUtil,true,140
sololettereLite,1,0,Alfabetico,false,Brics,true,20
sololettereLite,1,0,Alfabetico,false,JRegex,true,167
sololettereLite,2,1,Alfabetico,true,JUtil,true,128
sololettereLite,2,1,Alfabetico,true,Brics,true,47
sololettereLite,2,1,Alfabetico,true,JRegex,true,181
sololettereLite,3,13,Alfabetico,true,JUtil,true,173
sololettereLite,3,13,Alfabetico,true,Brics,true,474
sololettereLite,3,13,Alfabetico,true,JRegex,true,195
sololettereLite,4,11,Alfabetico,false,JUtil,true,193
sololettereLite,4,11,Alfabetico,false,Brics,true,393
sololettereLite,4,11,Alfabetico,false,JRegex,true,571
sololettereLite,5,25,Alfabetico,true,JUtil,true,197
sololettereLite,5,25,Alfabetico,true,Brics,true,833
sololettereLite,5,25,Alfabetico,true,JRegex,true,213
sololettereLite,6,21,Alfabetico,false,JUtil,true,208
sololettereLite,6,21,Alfabetico,false,Brics,true,753
sololettereLite,6,21,Alfabetico,false,JRegex,true,971
sololettereLite,7,15,Alfabetico,true,JUtil,true,173
sololettereLite,7,15,Alfabetico,true,Brics,true,550
sololettereLite,7,15,Alfabetico,true,JRegex,true,199
sololettereLite,8,7,Alfabetico,false,JUtil,true,164
sololettereLite,8,7,Alfabetico,false,Brics,true,179
sololettereLite,8,7,Alfabetico,false,JRegex,true,369
sololettereLite,9,28,Alfabetico,true,JUtil,true,202
sololettereLite,9,28,Alfabetico,true,Brics,true,979
sololettereLite,9,28,Alfabetico,true,JRegex,true,217
sololettereLite,10,47,Alfabetico,false,JUtil,true,120
sololettereLite,10,47,Alfabetico,false,Brics,true,45
sololettereLite,10,47,Alfabetico,false,JRegex,true,175
sololettereLite,11,120,Alfabetico,true,JUtil,true,391
sololettereLite,11,120,Alfabetico,true,Brics,true,4247
sololettereLite,11,120,Alfabetico,true,JRegex,true,380
sololettereLite,12,45,Alfabetico,false,JUtil,true,116
sololettereLite,12,45,Alfabetico,false,Brics,true,42
sololettereLite,12,45,Alfabetico,false,JRegex,true,176
sololettereLite,13,270,Alfabetico,true,JUtil,true,883
sololettereLite,13,270,Alfabetico,true,Brics,true,8985
sololettereLite,13,270,Alfabetico,true,JRegex,true,658
sololettereLite,14,80,Alfabetico,false,JUtil,true,403
sololettereLite,14,80,Alfabetico,false,Brics,true,2452
sololettereLite,14,80,Alfabetico,false,JRegex,true,3122
sololettereLite,15,5,Alfabetico,false,JUtil,true,114
sololettereLite,15,5,Alfabetico,false,Brics,true,42
sololettereLite,15,5,Alfabetico,false,JRegex,true,180
sololettereLite,16,92,Alfabetico,true,JUtil,true,332
sololettereLite,16,92,Alfabetico,true,Brics,true,3253
sololettereLite,16,92,Alfabetico,true,JRegex,true,308
sololettereLite,17,35,Alfabetico,true,JUtil,true,211
sololettereLite,17,35,Alfabetico,true,Brics,true,1252
sololettereLite,17,35,Alfabetico,true,JRegex,true,228
sololettereLite,18,39,Alfabetico,false,JUtil,true,114
sololettereLite,18,39,Alfabetico,false,Brics,true,42
sololettereLite,18,39,Alfabetico,false,JRegex,true,172
sololettereLite,19,51,Alfabetico,true,JUtil,true,255
sololettereLite,19,51,Alfabetico,true,Brics,true,1709
sololettereLite,19,51,Alfabetico,true,JRegex,true,249
sololettereLite,20,57,Alfabetico,false,JUtil,true,114
sololettereLite,20,57,Alfabetico,false,Brics,true,42
sololettereLite,20,57,Alfabetico,false,JRegex,true,180
sololettereLite,21,118,Alfabetico,true,JUtil,true,382
sololettereLite,21,118,Alfabetico,true,Brics,true,4238
sololettereLite,21,118,Alfabetico,true,JRegex,true,366
sololettereLite,22,80,Alfabetico,true,JUtil,true,307
sololettereLite,22,80,Alfabetico,true,Brics,true,2915
sololettereLite,22,80,Alfabetico,true,JRegex,true,296
sololettereLite,23,59,Alfabetico,true,JUtil,true,315
sololettereLite,23,59,Alfabetico,true,Brics,true,1620
sololettereLite,23,59,Alfabetico,true,JRegex,true,268
sololettereLite,24,76,Alfabetico,false,JUtil,true,475
sololettereLite,24,76,Alfabetico,false,Brics,true,2140
sololettereLite,24,76,Alfabetico,false,JRegex,true,3145
sololettereLite,25,19,Alfabetico,false,JUtil,true,115
sololettereLite,25,19,Alfabetico,false,Brics,true,43
sololettereLite,25,19,Alfabetico,false,JRegex,true,173
sololettereLite,26,29,Alfabetico,false,JUtil,true,253
sololettereLite,26,29,Alfabetico,false,Brics,true,812
sololettereLite,26,29,Alfabetico,false,JRegex,true,1529
sololettereLite,27,3,Alfabetico,false,JUtil,true,200
sololettereLite,27,3,Alfabetico,false,Brics,true,56
sololettereLite,27,3,Alfabetico,false,JRegex,true,182
sololettereLite,28,10,Alfabetico,true,JUtil,true,234
sololettereLite,28,10,Alfabetico,true,Brics,true,297
sololettereLite,28,10,Alfabetico,true,JRegex,true,242
sololettereLite,29,9,Alfabetico,false,JUtil,true,262
sololettereLite,29,9,Alfabetico,false,Brics,true,244
sololettereLite,29,9,Alfabetico,false,JRegex,true,519
sololettereLite,30,115,Alfabetico,true,JUtil,true,400
sololettereLite,30,115,Alfabetico,true,Brics,true,3993
sololettereLite,30,115,Alfabetico,true,JRegex,true,359
sololettereLite,31,95,Alfabetico,false,JUtil,true,377
sololettereLite,31,95,Alfabetico,false,Brics,true,2491
sololettereLite,31,95,Alfabetico,false,JRegex,true,2938
sololettereLite,32,71,Alfabetico,false,JUtil,true,259
sololettereLite,32,71,Alfabetico,false,Brics,true,1411
sololettereLite,32,71,Alfabetico,false,JRegex,true,1658
sololettereLite,33,59,Alfabetico,true,JUtil,true,318
sololettereLite,33,59,Alfabetico,true,Brics,true,1605
sololettereLite,33,59,Alfabetico,true,JRegex,true,268
sololettereLite,34,72,Alfabetico,false,JUtil,true,240
sololettereLite,34,72,Alfabetico,false,Brics,true,694
sololettereLite,34,72,Alfabetico,false,JRegex,true,1161
sololettereLite,35,11,Alfabetico,true,JUtil,true,176
sololettereLite,35,11,Alfabetico,true,Brics,true,297
sololettereLite,35,11,Alfabetico,true,JRegex,true,252
sololettereLite,36,16,Alfabetico,false,JUtil,true,208
sololettereLite,36,16,Alfabetico,false,Brics,true,450
sololettereLite,36,16,Alfabetico,false,JRegex,true,780
sololettereLite,37,55,Alfabetico,true,JUtil,true,282
sololettereLite,37,55,Alfabetico,true,Brics,true,1884
sololettereLite,37,55,Alfabetico,true,JRegex,true,261
sololettereLite,38,100,Alfabetico,false,JUtil,true,368
sololettereLite,38,100,Alfabetico,false,Brics,true,2559
sololettereLite,38,100,Alfabetico,false,JRegex,true,2995
sololettereLite,39,285,Alfabetico,true,JUtil,true,937
sololettereLite,39,285,Alfabetico,true,Brics,true,9390
sololettereLite,39,285,Alfabetico,true,JRegex,true,700
sololettereLite,40,14,Alfabetico,true,JUtil,true,190
sololettereLite,40,14,Alfabetico,true,Brics,true,381
sololettereLite,40,14,Alfabetico,true,JRegex,true,207
sololettereLite,41,84,Alfabetico,false,JUtil,true,463
sololettereLite,41,84,Alfabetico,false,Brics,true,2097
sololettereLite,41,84,Alfabetico,false,JRegex,true,3152
sololettereLite,42,36,Alfabetico,false,JUtil,true,308
sololettereLite,42,36,Alfabetico,false,Brics,true,887
sololettereLite,42,36,Alfabetico,false,JRegex,true,1435
sololettereLite,43,12,Alfabetico,false,JUtil,true,164
sololettereLite,43,12,Alfabetico,false,Brics,true,154
sololettereLite,43,12,Alfabetico,false,JRegex,true,331
sololettereLite,44,37,Alfabetico,true,JUtil,true,245
sololettereLite,44,37,Alfabetico,true,Brics,true,1157
