RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
floatingLite,1,5,Numeric,true,JUtil,true,190
floatingLite,1,5,Numeric,true,Brics,true,34
floatingLite,1,5,Numeric,true,JRegex,true,364
floatingLite,2,0,Numeric,false,JUtil,true,131
floatingLite,2,0,Numeric,false,Brics,true,14
floatingLite,2,0,Numeric,false,JRegex,true,277
floatingLite,3,4,Numeric,true,JUtil,true,181
floatingLite,3,4,Numeric,true,Brics,true,28
floatingLite,3,4,Numeric,true,JRegex,true,355
floatingLite,4,3,Numeric,false,JUtil,true,126
floatingLite,4,3,Numeric,false,Brics,true,15
floatingLite,4,3,Numeric,false,JRegex,true,278
floatingLite,5,10,Numeric,false,JUtil,true,127
floatingLite,5,10,Numeric,false,Brics,true,15
floatingLite,5,10,Numeric,false,JRegex,true,279
floatingLite,6,4,Numeric,false,JUtil,true,124
floatingLite,6,4,Numeric,false,Brics,true,18
floatingLite,6,4,Numeric,false,JRegex,true,277
floatingLite,7,6,Numeric,true,JUtil,true,193
floatingLite,7,6,Numeric,true,Brics,true,37
floatingLite,7,6,Numeric,true,JRegex,true,352
floatingLite,8,2,Numeric,false,JUtil,true,125
floatingLite,8,2,Numeric,false,Brics,true,17
floatingLite,8,2,Numeric,false,JRegex,true,274
floatingLite,9,5,Numeric,false,JUtil,true,249
floatingLite,9,5,Numeric,false,Brics,true,25
floatingLite,9,5,Numeric,false,JRegex,true,487
floatingLite,10,8,Numeric,true,JUtil,true,248
floatingLite,10,8,Numeric,true,Brics,true,42
floatingLite,10,8,Numeric,true,JRegex,true,341
floatingLite,11,7,Numeric,false,JUtil,true,353
floatingLite,11,7,Numeric,false,Brics,true,33
floatingLite,11,7,Numeric,false,JRegex,true,663
floatingLite,12,3,Numeric,false,JUtil,true,227
floatingLite,12,3,Numeric,false,Brics,true,25
floatingLite,12,3,Numeric,false,JRegex,true,472
floatingLite,13,6,Numeric,true,JUtil,true,222
floatingLite,13,6,Numeric,true,Brics,true,34
floatingLite,13,6,Numeric,true,JRegex,true,331
floatingLite,14,6,Numeric,false,JUtil,true,165
floatingLite,14,6,Numeric,false,Brics,true,22
floatingLite,14,6,Numeric,false,JRegex,true,342
floatingLite,15,5,Numeric,false,JUtil,true,167
floatingLite,15,5,Numeric,false,Brics,true,18
floatingLite,15,5,Numeric,false,JRegex,true,343
floatingLite,16,3,Numeric,false,JUtil,true,170
floatingLite,16,3,Numeric,false,Brics,true,18
floatingLite,16,3,Numeric,false,JRegex,true,343
floatingLite,17,7,Numeric,true,JUtil,true,228
floatingLite,17,7,Numeric,true,Brics,true,39
floatingLite,17,7,Numeric,true,JRegex,true,333
floatingLite,18,2,Numeric,true,JUtil,true,207
floatingLite,18,2,Numeric,true,Brics,true,25
floatingLite,18,2,Numeric,true,JRegex,true,364
floatingLite,19,5,Numeric,true,JUtil,true,199
floatingLite,19,5,Numeric,true,Brics,true,33
floatingLite,19,5,Numeric,true,JRegex,true,334
floatingLite,20,3,Numeric,true,JUtil,true,209
floatingLite,20,3,Numeric,true,Brics,true,26
floatingLite,20,3,Numeric,true,JRegex,true,353
floatingLite,21,4,Numeric,true,JUtil,true,245
floatingLite,21,4,Numeric,true,Brics,true,28
floatingLite,21,4,Numeric,true,JRegex,true,357
floatingLite,22,5,Numeric,false,JUtil,true,167
floatingLite,22,5,Numeric,false,Brics,true,18
floatingLite,22,5,Numeric,false,JRegex,true,347
floatingLite,23,3,Numeric,false,JUtil,true,168
floatingLite,23,3,Numeric,false,Brics,true,18
floatingLite,23,3,Numeric,false,JRegex,true,345
floatingLite,24,1,Numeric,false,JUtil,true,160
floatingLite,24,1,Numeric,false,Brics,true,18
floatingLite,24,1,Numeric,false,JRegex,true,343
floatingLite,25,1,Numeric,false,JUtil,true,163
floatingLite,25,1,Numeric,false,Brics,true,18
floatingLite,25,1,Numeric,false,JRegex,true,342
floatingLite,26,4,Numeric,false,JUtil,true,137
floatingLite,26,4,Numeric,false,Brics,true,15
floatingLite,26,4,Numeric,false,JRegex,true,262
floatingLite,27,17,Numeric,false,JUtil,true,478
floatingLite,27,17,Numeric,false,Brics,true,54
floatingLite,27,17,Numeric,false,JRegex,true,1092
