RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
numeriLite,1,5,Numeric,true,JUtil,true,181
numeriLite,1,5,Numeric,true,Brics,true,42
numeriLite,1,5,Numeric,true,JRegex,true,196
numeriLite,2,8,Numeric,true,JUtil,true,162
numeriLite,2,8,Numeric,true,Brics,true,43
numeriLite,2,8,Numeric,true,JRegex,true,186
numeriLite,3,7,Numeric,true,JUtil,true,150
numeriLite,3,7,Numeric,true,Brics,true,40
numeriLite,3,7,Numeric,true,JRegex,true,184
numeriLite,4,6,Numeric,true,JUtil,true,153
numeriLite,4,6,Numeric,true,Brics,true,34
numeriLite,4,6,Numeric,true,JRegex,true,185
numeriLite,5,2,Numeric,true,JUtil,true,136
numeriLite,5,2,Numeric,true,Brics,true,22
numeriLite,5,2,Numeric,true,JRegex,true,181
numeriLite,6,4,Numeric,true,JUtil,true,144
numeriLite,6,4,Numeric,true,Brics,true,31
numeriLite,6,4,Numeric,true,JRegex,true,183
numeriLite,7,3,Numeric,false,JUtil,true,143
numeriLite,7,3,Numeric,false,Brics,true,21
numeriLite,7,3,Numeric,false,JRegex,true,260
numeriLite,8,7,Numeric,true,JUtil,true,156
numeriLite,8,7,Numeric,true,Brics,true,40
numeriLite,8,7,Numeric,true,JRegex,true,184
numeriLite,9,8,Numeric,false,JUtil,true,158
numeriLite,9,8,Numeric,false,Brics,true,37
numeriLite,9,8,Numeric,false,JRegex,true,392
numeriLite,10,5,Numeric,false,JUtil,true,117
numeriLite,10,5,Numeric,false,Brics,true,15
numeriLite,10,5,Numeric,false,JRegex,true,171
numeriLite,11,4,Numeric,false,JUtil,true,115
numeriLite,11,4,Numeric,false,Brics,true,16
numeriLite,11,4,Numeric,false,JRegex,true,165
numeriLite,12,8,Numeric,false,JUtil,true,116
numeriLite,12,8,Numeric,false,Brics,true,18
numeriLite,12,8,Numeric,false,JRegex,true,169
numeriLite,13,8,Numeric,false,JUtil,true,162
numeriLite,13,8,Numeric,false,Brics,true,38
numeriLite,13,8,Numeric,false,JRegex,true,400
numeriLite,14,9,Numeric,false,JUtil,true,116
numeriLite,14,9,Numeric,false,Brics,true,18
numeriLite,14,9,Numeric,false,JRegex,true,167
numeriLite,15,3,Numeric,true,JUtil,true,146
numeriLite,15,3,Numeric,true,Brics,true,26
numeriLite,15,3,Numeric,true,JRegex,true,181
numeriLite,16,3,Numeric,true,JUtil,true,145
numeriLite,16,3,Numeric,true,Brics,true,25
numeriLite,16,3,Numeric,true,JRegex,true,182
numeriLite,17,0,Numeric,false,JUtil,true,111
numeriLite,17,0,Numeric,false,Brics,true,12
numeriLite,17,0,Numeric,false,JRegex,true,172
numeriLite,18,3,Numeric,false,JUtil,true,117
numeriLite,18,3,Numeric,false,Brics,true,15
numeriLite,18,3,Numeric,false,JRegex,true,166
numeriLite,19,4,Numeric,true,JUtil,true,153
numeriLite,19,4,Numeric,true,Brics,true,31
numeriLite,19,4,Numeric,true,JRegex,true,180
numeriLite,20,4,Numeric,false,JUtil,true,153
numeriLite,20,4,Numeric,false,Brics,true,26
numeriLite,20,4,Numeric,false,JRegex,true,277
numeriLite,21,3,Numeric,true,JUtil,true,152
numeriLite,21,3,Numeric,true,Brics,true,28
numeriLite,21,3,Numeric,true,JRegex,true,180
numeriLite,22,112,Numeric,true,JUtil,true,405
numeriLite,22,112,Numeric,true,Brics,true,559
numeriLite,22,112,Numeric,true,JRegex,true,324
numeriLite,23,12,Numeric,true,JUtil,true,179
numeriLite,23,12,Numeric,true,Brics,true,56
numeriLite,23,12,Numeric,true,JRegex,true,190
numeriLite,24,58,Numeric,false,JUtil,true,320
numeriLite,24,58,Numeric,false,Brics,true,243
numeriLite,24,58,Numeric,false,JRegex,true,2019
numeriLite,25,19,Numeric,true,JUtil,true,205
numeriLite,25,19,Numeric,true,Brics,true,79
numeriLite,25,19,Numeric,true,JRegex,true,204
numeriLite,26,1,Numeric,false,JUtil,true,112
numeriLite,26,1,Numeric,false,Brics,true,19
numeriLite,26,1,Numeric,false,JRegex,true,165
numeriLite,27,4,Numeric,false,JUtil,true,115
numeriLite,27,4,Numeric,false,Brics,true,18
numeriLite,27,4,Numeric,false,JRegex,true,166
numeriLite,28,10,Numeric,false,JUtil,true,115
numeriLite,28,10,Numeric,false,Brics,true,15
numeriLite,28,10,Numeric,false,JRegex,true,171
numeriLite,29,12,Numeric,false,JUtil,true,118
numeriLite,29,12,Numeric,false,Brics,true,18
numeriLite,29,12,Numeric,false,JRegex,true,165
numeriLite,30,8,Numeric,true,JUtil,true,162
numeriLite,30,8,Numeric,true,Brics,true,43
numeriLite,30,8,Numeric,true,JRegex,true,186
numeriLite,31,25,Numeric,false,JUtil,true,116
numeriLite,31,25,Numeric,false,Brics,true,18
numeriLite,31,25,Numeric,false,JRegex,true,167
numeriLite,32,16,Numeric,false,JUtil,true,115
numeriLite,32,16,Numeric,false,Brics,true,15
numeriLite,32,16,Numeric,false,JRegex,true,170
numeriLite,33,11,Numeric,false,JUtil,true,114
numeriLite,33,11,Numeric,false,Brics,true,18
numeriLite,33,11,Numeric,false,JRegex,true,165
numeriLite,34,5,Numeric,true,JUtil,true,155
numeriLite,34,5,Numeric,true,Brics,true,31
numeriLite,34,5,Numeric,true,JRegex,true,182
numeriLite,35,30,Numeric,false,JUtil,true,252
numeriLite,35,30,Numeric,false,Brics,true,120
numeriLite,35,30,Numeric,false,JRegex,true,1185
numeriLite,36,6,Numeric,true,JUtil,true,159
numeriLite,36,6,Numeric,true,Brics,true,37
numeriLite,36,6,Numeric,true,JRegex,true,181
numeriLite,37,7,Numeric,true,JUtil,true,160
numeriLite,37,7,Numeric,true,Brics,true,40
numeriLite,37,7,Numeric,true,JRegex,true,184
numeriLite,38,33,Numeric,false,JUtil,true,263
numeriLite,38,33,Numeric,false,Brics,true,143
numeriLite,38,33,Numeric,false,JRegex,true,1329
numeriLite,39,4,Numeric,false,JUtil,true,115
numeriLite,39,4,Numeric,false,Brics,true,18
numeriLite,39,4,Numeric,false,JRegex,true,162
numeriLite,40,12,Numeric,false,JUtil,true,159
numeriLite,40,12,Numeric,false,Brics,true,31
numeriLite,40,12,Numeric,false,JRegex,true,350
numeriLite,41,5,Numeric,true,JUtil,true,155
numeriLite,41,5,Numeric,true,Brics,true,34
numeriLite,41,5,Numeric,true,JRegex,true,182
numeriLite,42,13,Numeric,true,JUtil,true,181
numeriLite,42,13,Numeric,true,Brics,true,59
numeriLite,42,13,Numeric,true,JRegex,true,194
numeriLite,43,2,Numeric,false,JUtil,true,115
numeriLite,43,2,Numeric,false,Brics,true,18
numeriLite,43,2,Numeric,false,JRegex,true,165
numeriLite,44,1,Numeric,false,JUtil,true,115
numeriLite,44,1,Numeric,false,Brics,true,15
numeriLite,44,1,Numeric,false,JRegex,true,165
numeriLite,45,5,Numeric,true,JUtil,true,156
numeriLite,45,5,Numeric,true,Brics,true,32
numeriLite,45,5,Numeric,true,JRegex,true,181
numeriLite,46,19,Numeric,false,JUtil,true,113
numeriLite,46,19,Numeric,false,Brics,true,18
numeriLite,46,19,Numeric,false,JRegex,true,166
numeriLite,47,15,Numeric,false,JUtil,true,201
numeriLite,47,15,Numeric,false,Brics,true,65
numeriLite,47,15,Numeric,false,JRegex,true,671
numeriLite,48,10,Numeric,false,JUtil,true,162
numeriLite,48,10,Numeric,false,Brics,true,37
numeriLite,48,10,Numeric,false,JRegex,true,384
numeriLite,49,10,Numeric,false,JUtil,true,131
numeriLite,49,10,Numeric,false,Brics,true,21
numeriLite,49,10,Numeric,false,JRegex,true,212
numeriLite,50,5,Numeric,false,JUtil,true,152
numeriLite,50,5,Numeric,false,Brics,true,25
numeriLite,50,5,Numeric,false,JRegex,true,280
