RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
ipaddrLite,1,13,Numeric,false,JUtil,true,697
ipaddrLite,1,13,Numeric,false,Brics,true,62
ipaddrLite,1,13,Numeric,false,JRegex,true,2034
ipaddrLite,2,7,Numeric,true,JUtil,true,289
ipaddrLite,2,7,Numeric,true,Brics,true,40
ipaddrLite,2,7,Numeric,true,JRegex,true,1290
ipaddrLite,3,7,Numeric,true,JUtil,true,289
ipaddrLite,3,7,Numeric,true,Brics,true,37
ipaddrLite,3,7,Numeric,true,JRegex,true,1276
ipaddrLite,4,15,Numeric,true,JUtil,true,722
ipaddrLite,4,15,Numeric,true,Brics,true,65
ipaddrLite,4,15,Numeric,true,JRegex,true,2106
ipaddrLite,5,12,Numeric,false,JUtil,true,172
ipaddrLite,5,12,Numeric,false,Brics,true,15
ipaddrLite,5,12,Numeric,false,JRegex,true,488
ipaddrLite,6,12,Numeric,false,JUtil,true,408
ipaddrLite,6,12,Numeric,false,Brics,true,37
ipaddrLite,6,12,Numeric,false,JRegex,true,1188
ipaddrLite,7,7,Numeric,false,JUtil,true,445
ipaddrLite,7,7,Numeric,false,Brics,true,35
ipaddrLite,7,7,Numeric,false,JRegex,true,1368
ipaddrLite,8,13,Numeric,false,JUtil,true,557
ipaddrLite,8,13,Numeric,false,Brics,true,50
ipaddrLite,8,13,Numeric,false,JRegex,true,1646
ipaddrLite,9,4,Numeric,false,JUtil,true,171
ipaddrLite,9,4,Numeric,false,Brics,true,18
ipaddrLite,9,4,Numeric,false,JRegex,true,481
ipaddrLite,10,0,Numeric,false,JUtil,true,160
ipaddrLite,10,0,Numeric,false,Brics,true,12
ipaddrLite,10,0,Numeric,false,JRegex,true,482
ipaddrLite,11,10,Numeric,false,JUtil,true,553
ipaddrLite,11,10,Numeric,false,Brics,true,40
ipaddrLite,11,10,Numeric,false,JRegex,true,1830
ipaddrLite,12,13,Numeric,false,JUtil,true,213
ipaddrLite,12,13,Numeric,false,Brics,true,23
ipaddrLite,12,13,Numeric,false,JRegex,true,603
ipaddrLite,13,6,Numeric,false,JUtil,true,299
ipaddrLite,13,6,Numeric,false,Brics,true,22
ipaddrLite,13,6,Numeric,false,JRegex,true,925
ipaddrLite,14,7,Numeric,false,JUtil,true,212
ipaddrLite,14,7,Numeric,false,Brics,true,21
ipaddrLite,14,7,Numeric,false,JRegex,true,586
ipaddrLite,15,11,Numeric,true,JUtil,true,472
ipaddrLite,15,11,Numeric,true,Brics,true,53
ipaddrLite,15,11,Numeric,true,JRegex,true,1619
ipaddrLite,16,12,Numeric,false,JUtil,true,660
ipaddrLite,16,12,Numeric,false,Brics,true,53
