RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time(ms)
hexcolorsLite,1,7,Misto,true,JUtil,true,460
hexcolorsLite,1,7,Misto,true,Brics,true,44
hexcolorsLite,1,7,Misto,true,JRegex,true,1784
hexcolorsLite,2,7,Misto,true,JUtil,true,388
hexcolorsLite,2,7,Misto,true,Brics,true,40
hexcolorsLite,2,7,Misto,true,JRegex,true,1692
hexcolorsLite,3,37,Misto,false,JUtil,true,100
hexcolorsLite,3,37,Misto,false,Brics,true,18
hexcolorsLite,3,37,Misto,false,JRegex,true,215
hexcolorsLite,4,7,Misto,false,JUtil,true,199
hexcolorsLite,4,7,Misto,false,Brics,true,21
hexcolorsLite,4,7,Misto,false,JRegex,true,689
hexcolorsLite,5,41,Misto,false,JUtil,true,456
hexcolorsLite,5,41,Misto,false,Brics,true,42
hexcolorsLite,5,41,Misto,false,JRegex,true,2080
hexcolorsLite,6,7,Misto,true,JUtil,true,356
hexcolorsLite,6,7,Misto,true,Brics,true,40
hexcolorsLite,6,7,Misto,true,JRegex,true,1688
hexcolorsLite,7,0,Misto,false,JUtil,true,98
hexcolorsLite,7,0,Misto,false,Brics,true,15
hexcolorsLite,7,0,Misto,false,JRegex,true,202
hexcolorsLite,8,3,Misto,false,JUtil,true,140
hexcolorsLite,8,3,Misto,false,Brics,true,19
hexcolorsLite,8,3,Misto,false,JRegex,true,420
hexcolorsLite,9,9,Misto,false,JUtil,true,140
hexcolorsLite,9,9,Misto,false,Brics,true,21
hexcolorsLite,9,9,Misto,false,JRegex,true,424
hexcolorsLite,10,7,Misto,true,JUtil,true,378
hexcolorsLite,10,7,Misto,true,Brics,true,40
hexcolorsLite,10,7,Misto,true,JRegex,true,1745
hexcolorsLite,11,6,Misto,false,JUtil,true,99
hexcolorsLite,11,6,Misto,false,Brics,true,18
hexcolorsLite,11,6,Misto,false,JRegex,true,209
hexcolorsLite,12,7,Misto,true,JUtil,true,409
hexcolorsLite,12,7,Misto,true,Brics,true,37
hexcolorsLite,12,7,Misto,true,JRegex,true,1803
hexcolorsLite,13,35,Misto,false,JUtil,true,246
hexcolorsLite,13,35,Misto,false,Brics,true,27
hexcolorsLite,13,35,Misto,false,JRegex,true,910
hexcolorsLite,14,4,Misto,true,JUtil,true,305
hexcolorsLite,14,4,Misto,true,Brics,true,31
hexcolorsLite,14,4,Misto,true,JRegex,true,1283
hexcolorsLite,15,4,Misto,true,JUtil,true,256
hexcolorsLite,15,4,Misto,true,Brics,true,31
hexcolorsLite,15,4,Misto,true,JRegex,true,1192
hexcolorsLite,16,5,Misto,false,JUtil,true,364
hexcolorsLite,16,5,Misto,false,Brics,true,34
hexcolorsLite,16,5,Misto,false,JRegex,true,1632
hexcolorsLite,17,6,Misto,false,JUtil,true,426
hexcolorsLite,17,6,Misto,false,Brics,true,34
hexcolorsLite,17,6,Misto,false,JRegex,true,1914
hexcolorsLite,18,7,Misto,true,JUtil,true,341
hexcolorsLite,18,7,Misto,true,Brics,true,37
hexcolorsLite,18,7,Misto,true,JRegex,true,1797
hexcolorsLite,19,7,Misto,true,JUtil,true,399
hexcolorsLite,19,7,Misto,true,Brics,true,37
hexcolorsLite,19,7,Misto,true,JRegex,true,1868
hexcolorsLite,20,7,Misto,true,JUtil,true,371
hexcolorsLite,20,7,Misto,true,Brics,true,40
hexcolorsLite,20,7,Misto,true,JRegex,true,1820
hexcolorsLite,21,7,Misto,true,JUtil,true,431
hexcolorsLite,21,7,Misto,true,Brics,true,37
hexcolorsLite,21,7,Misto,true,JRegex,true,1926
hexcolorsLite,22,7,Misto,true,JUtil,true,416
hexcolorsLite,22,7,Misto,true,Brics,true,37
hexcolorsLite,22,7,Misto,true,JRegex,true,1881
hexcolorsLite,23,7,Misto,true,JUtil,true,415
hexcolorsLite,23,7,Misto,true,Brics,true,40
hexcolorsLite,23,7,Misto,true,JRegex,true,1879
hexcolorsLite,24,7,Misto,false,JUtil,true,244
hexcolorsLite,24,7,Misto,false,Brics,true,24
hexcolorsLite,24,7,Misto,false,JRegex,true,941
hexcolorsLite,25,4,Misto,true,JUtil,true,274
hexcolorsLite,25,4,Misto,true,Brics,true,31
hexcolorsLite,25,4,Misto,true,JRegex,true,1230
hexcolorsLite,26,5,Misto,false,JUtil,true,321
hexcolorsLite,26,5,Misto,false,Brics,true,31
hexcolorsLite,26,5,Misto,false,JRegex,true,1406
hexcolorsLite,27,5,Misto,false,JUtil,true,366
hexcolorsLite,27,5,Misto,false,Brics,true,34
hexcolorsLite,27,5,Misto,false,JRegex,true,1649
hexcolorsLite,28,7,Misto,true,JUtil,true,373
hexcolorsLite,28,7,Misto,true,Brics,true,40
hexcolorsLite,28,7,Misto,true,JRegex,true,1851
hexcolorsLite,29,7,Misto,true,JUtil,true,422
hexcolorsLite,29,7,Misto,true,Brics,true,38
hexcolorsLite,29,7,Misto,true,JRegex,true,1884
hexcolorsLite,30,4,Misto,true,JUtil,true,305
hexcolorsLite,30,4,Misto,true,Brics,true,31
hexcolorsLite,30,4,Misto,true,JRegex,true,1263
hexcolorsLite,31,7,Misto,true,JUtil,true,409
hexcolorsLite,31,7,Misto,true,Brics,true,37
hexcolorsLite,31,7,Misto,true,JRegex,true,1861
hexcolorsLite,32,4,Misto,true,JUtil,true,280
hexcolorsLite,32,4,Misto,true,Brics,true,31
hexcolorsLite,32,4,Misto,true,JRegex,true,1229
hexcolorsLite,33,7,Misto,true,JUtil,true,413
hexcolorsLite,33,7,Misto,true,Brics,true,40
hexcolorsLite,33,7,Misto,true,JRegex,true,1880
hexcolorsLite,34,7,Misto,true,JUtil,true,424
hexcolorsLite,34,7,Misto,true,Brics,true,38
hexcolorsLite,34,7,Misto,true,JRegex,true,1915
hexcolorsLite,35,8,Misto,false,JUtil,true,458
hexcolorsLite,35,8,Misto,false,Brics,true,41
hexcolorsLite,35,8,Misto,false,JRegex,true,2169
hexcolorsLite,36,7,Misto,true,JUtil,true,433
hexcolorsLite,36,7,Misto,true,Brics,true,38
hexcolorsLite,36,7,Misto,true,JRegex,true,1927
hexcolorsLite,37,6,Misto,false,JUtil,true,102
hexcolorsLite,37,6,Misto,false,Brics,true,15
hexcolorsLite,37,6,Misto,false,JRegex,true,214
hexcolorsLite,38,7,Misto,false,JUtil,true,377
hexcolorsLite,38,7,Misto,false,Brics,true,31
hexcolorsLite,38,7,Misto,false,JRegex,true,1647
hexcolorsLite,39,7,Misto,false,JUtil,true,375
hexcolorsLite,39,7,Misto,false,Brics,true,31
hexcolorsLite,39,7,Misto,false,JRegex,true,1629
hexcolorsLite,40,7,Misto,true,JUtil,true,400
hexcolorsLite,40,7,Misto,true,Brics,true,37
hexcolorsLite,40,7,Misto,true,JRegex,true,1849
hexcolorsLite,41,9,Misto,false,JUtil,true,141
hexcolorsLite,41,9,Misto,false,Brics,true,18
hexcolorsLite,41,9,Misto,false,JRegex,true,429
hexcolorsLite,42,7,Misto,true,JUtil,true,388
hexcolorsLite,42,7,Misto,true,Brics,true,38
hexcolorsLite,42,7,Misto,true,JRegex,true,1832
hexcolorsLite,43,7,Misto,true,JUtil,true,395
hexcolorsLite,43,7,Misto,true,Brics,true,40
hexcolorsLite,43,7,Misto,true,JRegex,true,1843
hexcolorsLite,44,7,Misto,true,JUtil,true,403
hexcolorsLite,44,7,Misto,true,Brics,true,37
hexcolorsLite,44,7,Misto,true,JRegex,true,1869
hexcolorsLite,45,7,Misto,true,JUtil,true,405
hexcolorsLite,45,7,Misto,true,Brics,true,37
hexcolorsLite,45,7,Misto,true,JRegex,true,1862
hexcolorsLite,46,7,Misto,true,JUtil,true,384
hexcolorsLite,46,7,Misto,true,Brics,true,37
hexcolorsLite,46,7,Misto,true,JRegex,true,1841
hexcolorsLite,47,7,Misto,false,JUtil,true,247
hexcolorsLite,47,7,Misto,false,Brics,true,24
hexcolorsLite,47,7,Misto,false,JRegex,true,931
hexcolorsLite,48,6,Misto,false,JUtil,true,103
hexcolorsLite,48,6,Misto,false,Brics,true,15
hexcolorsLite,48,6,Misto,false,JRegex,true,210
hexcolorsLite,49,7,Misto,true,JUtil,true,409
hexcolorsLite,49,7,Misto,true,Brics,true,37
hexcolorsLite,49,7,Misto,true,JRegex,true,1881
hexcolorsLite,50,7,Misto,true,JUtil,true,452
hexcolorsLite,50,7,Misto,true,Brics,true,43
hexcolorsLite,50,7,Misto,true,JRegex,true,1851
