RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
hexcolorsLite,1,7,Misto,true,JUtil,true,823
hexcolorsLite,1,7,Misto,true,Brics,true,315
hexcolorsLite,1,7,Misto,true,BricsOptimized,true,54
hexcolorsLite,1,7,Misto,true,JRegex,true,2335
hexcolorsLite,2,7,Misto,true,JUtil,true,505
hexcolorsLite,2,7,Misto,true,Brics,true,312
hexcolorsLite,2,7,Misto,true,BricsOptimized,true,44
hexcolorsLite,2,7,Misto,true,JRegex,true,2686
hexcolorsLite,3,37,Misto,false,JUtil,true,154
hexcolorsLite,3,37,Misto,false,Brics,true,84
hexcolorsLite,3,37,Misto,false,BricsOptimized,true,43
hexcolorsLite,3,37,Misto,false,JRegex,true,334
hexcolorsLite,4,7,Misto,false,JUtil,true,277
hexcolorsLite,4,7,Misto,false,Brics,true,179
hexcolorsLite,4,7,Misto,false,BricsOptimized,true,37
hexcolorsLite,4,7,Misto,false,JRegex,true,1098
hexcolorsLite,5,41,Misto,false,JUtil,true,643
hexcolorsLite,5,41,Misto,false,Brics,true,331
hexcolorsLite,5,41,Misto,false,BricsOptimized,true,47
hexcolorsLite,5,41,Misto,false,JRegex,true,2754
hexcolorsLite,6,7,Misto,true,JUtil,true,543
hexcolorsLite,6,7,Misto,true,Brics,true,315
hexcolorsLite,6,7,Misto,true,BricsOptimized,true,81
hexcolorsLite,6,7,Misto,true,JRegex,true,2520
hexcolorsLite,7,0,Misto,false,JUtil,true,147
hexcolorsLite,7,0,Misto,false,Brics,true,15
hexcolorsLite,7,0,Misto,false,BricsOptimized,true,25
hexcolorsLite,7,0,Misto,false,JRegex,true,314
hexcolorsLite,8,3,Misto,false,JUtil,true,185
hexcolorsLite,8,3,Misto,false,Brics,true,106
hexcolorsLite,8,3,Misto,false,BricsOptimized,true,20
hexcolorsLite,8,3,Misto,false,JRegex,true,677
hexcolorsLite,9,9,Misto,false,JUtil,true,216
hexcolorsLite,9,9,Misto,false,Brics,true,145
hexcolorsLite,9,9,Misto,false,BricsOptimized,true,35
hexcolorsLite,9,9,Misto,false,JRegex,true,664
hexcolorsLite,10,7,Misto,true,JUtil,true,530
hexcolorsLite,10,7,Misto,true,Brics,true,401
hexcolorsLite,10,7,Misto,true,BricsOptimized,true,43
hexcolorsLite,10,7,Misto,true,JRegex,true,2706
hexcolorsLite,11,6,Misto,false,JUtil,true,151
hexcolorsLite,11,6,Misto,false,Brics,true,75
hexcolorsLite,11,6,Misto,false,BricsOptimized,true,30
hexcolorsLite,11,6,Misto,false,JRegex,true,366
hexcolorsLite,12,7,Misto,true,JUtil,true,513
hexcolorsLite,12,7,Misto,true,Brics,true,358
hexcolorsLite,12,7,Misto,true,BricsOptimized,true,46
hexcolorsLite,12,7,Misto,true,JRegex,true,2862
hexcolorsLite,13,35,Misto,false,JUtil,true,400
hexcolorsLite,13,35,Misto,false,Brics,true,184
hexcolorsLite,13,35,Misto,false,BricsOptimized,true,28
hexcolorsLite,13,35,Misto,false,JRegex,true,1484
hexcolorsLite,14,4,Misto,true,JUtil,true,479
hexcolorsLite,14,4,Misto,true,Brics,true,207
hexcolorsLite,14,4,Misto,true,BricsOptimized,true,37
hexcolorsLite,14,4,Misto,true,JRegex,true,1606
hexcolorsLite,15,4,Misto,true,JUtil,true,292
hexcolorsLite,15,4,Misto,true,Brics,true,146
hexcolorsLite,15,4,Misto,true,BricsOptimized,true,36
hexcolorsLite,15,4,Misto,true,JRegex,true,1266
hexcolorsLite,16,5,Misto,false,JUtil,true,343
hexcolorsLite,16,5,Misto,false,Brics,true,185
hexcolorsLite,16,5,Misto,false,BricsOptimized,true,34
hexcolorsLite,16,5,Misto,false,JRegex,true,1703
hexcolorsLite,17,6,Misto,false,JUtil,true,382
hexcolorsLite,17,6,Misto,false,Brics,true,222
hexcolorsLite,17,6,Misto,false,BricsOptimized,true,38
hexcolorsLite,17,6,Misto,false,JRegex,true,1955
hexcolorsLite,18,7,Misto,true,JUtil,true,374
hexcolorsLite,18,7,Misto,true,Brics,true,232
hexcolorsLite,18,7,Misto,true,BricsOptimized,true,42
hexcolorsLite,18,7,Misto,true,JRegex,true,1820
hexcolorsLite,19,7,Misto,true,JUtil,true,382
hexcolorsLite,19,7,Misto,true,Brics,true,229
hexcolorsLite,19,7,Misto,true,BricsOptimized,true,40
hexcolorsLite,19,7,Misto,true,JRegex,true,1904
hexcolorsLite,20,7,Misto,true,JUtil,true,387
hexcolorsLite,20,7,Misto,true,Brics,true,225
hexcolorsLite,20,7,Misto,true,BricsOptimized,true,40
