RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
alphaLite,1,27,Misto,true,JUtil,true,325
alphaLite,1,27,Misto,true,Brics,true,882
alphaLite,1,27,Misto,true,BricsOptimized,true,122
alphaLite,1,27,Misto,true,JRegex,true,33482
alphaLite,2,14,Misto,true,JUtil,true,245
alphaLite,2,14,Misto,true,Brics,true,472
alphaLite,2,14,Misto,true,BricsOptimized,true,65
alphaLite,2,14,Misto,true,JRegex,true,204
alphaLite,3,26,Misto,true,JUtil,true,340
alphaLite,3,26,Misto,true,Brics,true,898
alphaLite,3,26,Misto,true,BricsOptimized,true,121
alphaLite,3,26,Misto,true,JRegex,true,217
alphaLite,4,28,Misto,true,JUtil,true,350
alphaLite,4,28,Misto,true,Brics,true,909
alphaLite,4,28,Misto,true,BricsOptimized,true,126
alphaLite,4,28,Misto,true,JRegex,true,219
alphaLite,5,23,Misto,false,JUtil,true,318
alphaLite,5,23,Misto,false,Brics,true,683
alphaLite,5,23,Misto,false,BricsOptimized,true,83
alphaLite,5,23,Misto,false,JRegex,true,906
alphaLite,6,28,Misto,true,JUtil,true,441
alphaLite,6,28,Misto,true,Brics,true,1101
alphaLite,6,28,Misto,true,BricsOptimized,true,126
alphaLite,6,28,Misto,true,JRegex,true,220
alphaLite,7,15,Misto,true,JUtil,true,249
alphaLite,7,15,Misto,true,Brics,true,513
alphaLite,7,15,Misto,true,BricsOptimized,true,69
alphaLite,7,15,Misto,true,JRegex,true,203
alphaLite,8,28,Misto,false,JUtil,true,286
alphaLite,8,28,Misto,false,Brics,true,666
alphaLite,8,28,Misto,false,BricsOptimized,true,75
alphaLite,8,28,Misto,false,JRegex,true,817
alphaLite,9,13,Misto,true,JUtil,true,246
alphaLite,9,13,Misto,true,Brics,true,468
alphaLite,9,13,Misto,true,BricsOptimized,true,61
alphaLite,9,13,Misto,true,JRegex,true,200
alphaLite,10,109,Misto,true,JUtil,true,1196
alphaLite,10,109,Misto,true,Brics,true,3779
alphaLite,10,109,Misto,true,BricsOptimized,true,543
alphaLite,10,109,Misto,true,JRegex,true,330
alphaLite,11,1,Misto,false,JUtil,true,134
alphaLite,11,1,Misto,false,Brics,true,51
alphaLite,11,1,Misto,false,BricsOptimized,true,19
