RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
dateLite,1,10,Numeric,true,JUtil,true,344
dateLite,1,10,Numeric,true,Brics,true,348
dateLite,1,10,Numeric,true,BricsOptimized,true,57
dateLite,1,10,Numeric,true,JRegex,true,894
dateLite,2,10,Numeric,true,JUtil,true,300
dateLite,2,10,Numeric,true,Brics,true,336
dateLite,2,10,Numeric,true,BricsOptimized,true,49
dateLite,2,10,Numeric,true,JRegex,true,836
dateLite,3,8,Numeric,false,JUtil,true,135
dateLite,3,8,Numeric,false,Brics,true,48
dateLite,3,8,Numeric,false,BricsOptimized,true,17
dateLite,3,8,Numeric,false,JRegex,true,291
dateLite,4,8,Numeric,false,JUtil,true,229
dateLite,4,8,Numeric,false,Brics,true,202
dateLite,4,8,Numeric,false,BricsOptimized,true,33
dateLite,4,8,Numeric,false,JRegex,true,556
dateLite,5,10,Numeric,true,JUtil,true,306
dateLite,5,10,Numeric,true,Brics,true,313
dateLite,5,10,Numeric,true,BricsOptimized,true,49
dateLite,5,10,Numeric,true,JRegex,true,818
dateLite,6,10,Numeric,false,JUtil,true,137
dateLite,6,10,Numeric,false,Brics,true,68
dateLite,6,10,Numeric,false,BricsOptimized,true,19
dateLite,6,10,Numeric,false,JRegex,true,305
dateLite,7,10,Numeric,false,JUtil,true,137
dateLite,7,10,Numeric,false,Brics,true,74
dateLite,7,10,Numeric,false,BricsOptimized,true,19
dateLite,7,10,Numeric,false,JRegex,true,304
dateLite,8,10,Numeric,false,JUtil,true,228
dateLite,8,10,Numeric,false,Brics,true,195
dateLite,8,10,Numeric,false,BricsOptimized,true,33
dateLite,8,10,Numeric,false,JRegex,true,544
dateLite,9,10,Numeric,true,JUtil,true,316
dateLite,9,10,Numeric,true,Brics,true,324
dateLite,9,10,Numeric,true,BricsOptimized,true,49
dateLite,9,10,Numeric,true,JRegex,true,798
dateLite,10,11,Numeric,false,JUtil,true,225
dateLite,10,11,Numeric,false,Brics,true,204
dateLite,10,11,Numeric,false,BricsOptimized,true,33
dateLite,10,11,Numeric,false,JRegex,true,550
dateLite,11,10,Numeric,true,JUtil,true,326
dateLite,11,10,Numeric,true,Brics,true,321
dateLite,11,10,Numeric,true,BricsOptimized,true,49
dateLite,11,10,Numeric,true,JRegex,true,865
dateLite,12,8,Numeric,false,JUtil,true,137
dateLite,12,8,Numeric,false,Brics,true,67
dateLite,12,8,Numeric,false,BricsOptimized,true,19
dateLite,12,8,Numeric,false,JRegex,true,306
dateLite,13,10,Numeric,true,JUtil,true,285
dateLite,13,10,Numeric,true,Brics,true,327
dateLite,13,10,Numeric,true,BricsOptimized,true,49
dateLite,13,10,Numeric,true,JRegex,true,763
dateLite,14,8,Numeric,false,JUtil,true,164
dateLite,14,8,Numeric,false,Brics,true,167
dateLite,14,8,Numeric,false,BricsOptimized,true,30
dateLite,14,8,Numeric,false,JRegex,true,390
dateLite,15,9,Numeric,false,JUtil,true,225
dateLite,15,9,Numeric,false,Brics,true,201
dateLite,15,9,Numeric,false,BricsOptimized,true,33
dateLite,15,9,Numeric,false,JRegex,true,549
dateLite,16,10,Numeric,false,JUtil,true,138
dateLite,16,10,Numeric,false,Brics,true,67
dateLite,16,10,Numeric,false,BricsOptimized,true,19
dateLite,16,10,Numeric,false,JRegex,true,307
dateLite,17,8,Numeric,false,JUtil,true,137
dateLite,17,8,Numeric,false,Brics,true,68
dateLite,17,8,Numeric,false,BricsOptimized,true,19
dateLite,17,8,Numeric,false,JRegex,true,305
dateLite,18,10,Numeric,false,JUtil,true,137
dateLite,18,10,Numeric,false,Brics,true,68
dateLite,18,10,Numeric,false,BricsOptimized,true,19
dateLite,18,10,Numeric,false,JRegex,true,307
dateLite,19,11,Numeric,false,JUtil,true,300
dateLite,19,11,Numeric,false,Brics,true,257
dateLite,19,11,Numeric,false,BricsOptimized,true,40
dateLite,19,11,Numeric,false,JRegex,true,755
dateLite,20,10,Numeric,true,JUtil,true,351
dateLite,20,10,Numeric,true,Brics,true,337
dateLite,20,10,Numeric,true,BricsOptimized,true,51
dateLite,20,10,Numeric,true,JRegex,true,786
dateLite,21,10,Numeric,false,JUtil,true,311
dateLite,21,10,Numeric,false,Brics,true,298
dateLite,21,10,Numeric,false,BricsOptimized,true,43
dateLite,21,10,Numeric,false,JRegex,true,732
dateLite,22,10,Numeric,false,JUtil,true,307
dateLite,22,10,Numeric,false,Brics,true,298
dateLite,22,10,Numeric,false,BricsOptimized,true,43
dateLite,22,10,Numeric,false,JRegex,true,732
dateLite,23,7,Numeric,false,JUtil,true,166
dateLite,23,7,Numeric,false,Brics,true,167
dateLite,23,7,Numeric,false,BricsOptimized,true,30
dateLite,23,7,Numeric,false,JRegex,true,389
dateLite,24,10,Numeric,true,JUtil,true,309
dateLite,24,10,Numeric,true,Brics,true,314
dateLite,24,10,Numeric,true,BricsOptimized,true,49
dateLite,24,10,Numeric,true,JRegex,true,816
dateLite,25,10,Numeric,false,JUtil,true,232
dateLite,25,10,Numeric,false,Brics,true,230
dateLite,25,10,Numeric,false,BricsOptimized,true,37
dateLite,25,10,Numeric,false,JRegex,true,569
dateLite,26,10,Numeric,false,JUtil,true,344
dateLite,26,10,Numeric,false,Brics,true,319
dateLite,26,10,Numeric,false,BricsOptimized,true,47
dateLite,26,10,Numeric,false,JRegex,true,865
dateLite,27,10,Numeric,true,JUtil,true,324
dateLite,27,10,Numeric,true,Brics,true,318
dateLite,27,10,Numeric,true,BricsOptimized,true,49
dateLite,27,10,Numeric,true,JRegex,true,764
dateLite,28,10,Numeric,false,JUtil,true,309
dateLite,28,10,Numeric,false,Brics,true,293
dateLite,28,10,Numeric,false,BricsOptimized,true,43
dateLite,28,10,Numeric,false,JRegex,true,717
dateLite,29,10,Numeric,true,JUtil,true,323
dateLite,29,10,Numeric,true,Brics,true,318
dateLite,29,10,Numeric,true,BricsOptimized,true,49
dateLite,29,10,Numeric,true,JRegex,true,835
dateLite,30,10,Numeric,true,JUtil,true,322
dateLite,30,10,Numeric,true,Brics,true,318
dateLite,30,10,Numeric,true,BricsOptimized,true,49
dateLite,30,10,Numeric,true,JRegex,true,834
dateLite,31,10,Numeric,false,JUtil,true,232
dateLite,31,10,Numeric,false,Brics,true,234
dateLite,31,10,Numeric,false,BricsOptimized,true,36
dateLite,31,10,Numeric,false,JRegex,true,551
dateLite,32,10,Numeric,true,JUtil,true,314
dateLite,32,10,Numeric,true,Brics,true,321
dateLite,32,10,Numeric,true,BricsOptimized,true,49
dateLite,32,10,Numeric,true,JRegex,true,772
dateLite,33,11,Numeric,false,JUtil,true,166
dateLite,33,11,Numeric,false,Brics,true,162
dateLite,33,11,Numeric,false,BricsOptimized,true,30
dateLite,33,11,Numeric,false,JRegex,true,388
