RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
mailLite,1,13,Misto,true,JUtil,true,827
mailLite,1,13,Misto,true,Brics,true,425
mailLite,1,13,Misto,true,BricsOptimized,true,64
mailLite,1,13,Misto,true,JRegex,true,735
mailLite,2,17,Misto,true,JUtil,true,626
mailLite,2,17,Misto,true,Brics,true,547
mailLite,2,17,Misto,true,BricsOptimized,true,73
mailLite,2,17,Misto,true,JRegex,true,478
mailLite,3,30,Misto,true,JUtil,true,1614
mailLite,3,30,Misto,true,Brics,true,998
mailLite,3,30,Misto,true,BricsOptimized,true,146
mailLite,3,30,Misto,true,JRegex,true,776
mailLite,4,27,Misto,true,JUtil,true,841
mailLite,4,27,Misto,true,Brics,true,876
mailLite,4,27,Misto,true,BricsOptimized,true,117
mailLite,4,27,Misto,true,JRegex,true,513
mailLite,5,22,Misto,true,JUtil,true,774
mailLite,5,22,Misto,true,Brics,true,835
mailLite,5,22,Misto,true,BricsOptimized,true,91
mailLite,5,22,Misto,true,JRegex,true,485
mailLite,6,21,Misto,true,JUtil,true,740
mailLite,6,21,Misto,true,Brics,true,675
mailLite,6,21,Misto,true,BricsOptimized,true,86
mailLite,6,21,Misto,true,JRegex,true,481
mailLite,7,18,Misto,true,JUtil,true,689
mailLite,7,18,Misto,true,Brics,true,582
mailLite,7,18,Misto,true,BricsOptimized,true,76
mailLite,7,18,Misto,true,JRegex,true,493
mailLite,8,20,Misto,true,JUtil,true,846
mailLite,8,20,Misto,true,Brics,true,640
mailLite,8,20,Misto,true,BricsOptimized,true,88
mailLite,8,20,Misto,true,JRegex,true,496
mailLite,9,30,Misto,true,JUtil,true,978
mailLite,9,30,Misto,true,Brics,true,982
mailLite,9,30,Misto,true,BricsOptimized,true,134
mailLite,9,30,Misto,true,JRegex,true,505
mailLite,10,12,Misto,false,JUtil,true,1106
mailLite,10,12,Misto,false,Brics,true,406
mailLite,10,12,Misto,false,BricsOptimized,true,56
mailLite,10,12,Misto,false,JRegex,true,465
mailLite,11,12,Misto,false,JUtil,true,194
mailLite,11,12,Misto,false,Brics,true,59
mailLite,11,12,Misto,false,BricsOptimized,true,17
mailLite,11,12,Misto,false,JRegex,true,276
mailLite,12,17,Misto,false,JUtil,true,4082
mailLite,12,17,Misto,false,Brics,true,572
mailLite,12,17,Misto,false,BricsOptimized,true,73
mailLite,12,17,Misto,false,JRegex,true,5641
mailLite,13,25,Misto,false,JUtil,true,825
mailLite,13,25,Misto,false,Brics,true,466
mailLite,13,25,Misto,false,BricsOptimized,true,68
mailLite,13,25,Misto,false,JRegex,true,596
mailLite,14,19,Misto,false,JUtil,true,219
mailLite,14,19,Misto,false,Brics,true,65
mailLite,14,19,Misto,false,BricsOptimized,true,18
mailLite,14,19,Misto,false,JRegex,true,270
mailLite,15,13,Misto,false,JUtil,true,798
mailLite,15,13,Misto,false,Brics,true,410
mailLite,15,13,Misto,false,BricsOptimized,true,59
mailLite,15,13,Misto,false,JRegex,true,506
mailLite,16,23,Misto,false,JUtil,true,1260
mailLite,16,23,Misto,false,Brics,true,995
mailLite,16,23,Misto,false,BricsOptimized,true,96
mailLite,16,23,Misto,false,JRegex,true,833
mailLite,17,30,Misto,true,JUtil,true,1225
mailLite,17,30,Misto,true,Brics,true,881
mailLite,17,30,Misto,true,BricsOptimized,true,134
mailLite,17,30,Misto,true,JRegex,true,737
mailLite,18,24,Misto,false,JUtil,true,2057
mailLite,18,24,Misto,false,Brics,true,544
mailLite,18,24,Misto,false,BricsOptimized,true,70
mailLite,18,24,Misto,false,JRegex,true,1753
mailLite,19,12,Misto,false,JUtil,true,646
mailLite,19,12,Misto,false,Brics,true,278
mailLite,19,12,Misto,false,BricsOptimized,true,38
mailLite,19,12,Misto,false,JRegex,true,506
mailLite,20,10,Misto,false,JUtil,true,728
mailLite,20,10,Misto,false,Brics,true,331
mailLite,20,10,Misto,false,BricsOptimized,true,51
mailLite,20,10,Misto,false,JRegex,true,563
mailLite,21,12,Misto,false,JUtil,true,757
mailLite,21,12,Misto,false,Brics,true,382
