RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
ipaddrLite,1,13,Numeric,false,JUtil,true,714
ipaddrLite,1,13,Numeric,false,Brics,true,445
ipaddrLite,1,13,Numeric,false,BricsOptimized,true,61
ipaddrLite,1,13,Numeric,false,JRegex,true,2071
ipaddrLite,2,7,Numeric,true,JUtil,true,295
ipaddrLite,2,7,Numeric,true,Brics,true,202
ipaddrLite,2,7,Numeric,true,BricsOptimized,true,43
ipaddrLite,2,7,Numeric,true,JRegex,true,1274
ipaddrLite,3,7,Numeric,true,JUtil,true,290
ipaddrLite,3,7,Numeric,true,Brics,true,228
ipaddrLite,3,7,Numeric,true,BricsOptimized,true,40
ipaddrLite,3,7,Numeric,true,JRegex,true,1277
ipaddrLite,4,15,Numeric,true,JUtil,true,737
ipaddrLite,4,15,Numeric,true,Brics,true,552
ipaddrLite,4,15,Numeric,true,BricsOptimized,true,68
ipaddrLite,4,15,Numeric,true,JRegex,true,2069
ipaddrLite,5,12,Numeric,false,JUtil,true,177
ipaddrLite,5,12,Numeric,false,Brics,true,52
ipaddrLite,5,12,Numeric,false,BricsOptimized,true,18
ipaddrLite,5,12,Numeric,false,JRegex,true,485
ipaddrLite,6,12,Numeric,false,JUtil,true,411
ipaddrLite,6,12,Numeric,false,Brics,true,240
ipaddrLite,6,12,Numeric,false,BricsOptimized,true,38
ipaddrLite,6,12,Numeric,false,JRegex,true,1181
ipaddrLite,7,7,Numeric,false,JUtil,true,444
ipaddrLite,7,7,Numeric,false,Brics,true,202
ipaddrLite,7,7,Numeric,false,BricsOptimized,true,34
ipaddrLite,7,7,Numeric,false,JRegex,true,1396
ipaddrLite,8,13,Numeric,false,JUtil,true,549
ipaddrLite,8,13,Numeric,false,Brics,true,366
ipaddrLite,8,13,Numeric,false,BricsOptimized,true,53
ipaddrLite,8,13,Numeric,false,JRegex,true,1668
ipaddrLite,9,4,Numeric,false,JUtil,true,177
ipaddrLite,9,4,Numeric,false,Brics,true,52
ipaddrLite,9,4,Numeric,false,BricsOptimized,true,18
ipaddrLite,9,4,Numeric,false,JRegex,true,489
ipaddrLite,10,0,Numeric,false,JUtil,true,165
ipaddrLite,10,0,Numeric,false,Brics,true,15
ipaddrLite,10,0,Numeric,false,BricsOptimized,true,15
ipaddrLite,10,0,Numeric,false,JRegex,true,475
ipaddrLite,11,10,Numeric,false,JUtil,true,559
ipaddrLite,11,10,Numeric,false,Brics,true,280
ipaddrLite,11,10,Numeric,false,BricsOptimized,true,43
ipaddrLite,11,10,Numeric,false,JRegex,true,1807
ipaddrLite,12,13,Numeric,false,JUtil,true,221
ipaddrLite,12,13,Numeric,false,Brics,true,100
ipaddrLite,12,13,Numeric,false,BricsOptimized,true,25
ipaddrLite,12,13,Numeric,false,JRegex,true,597
ipaddrLite,13,6,Numeric,false,JUtil,true,303
ipaddrLite,13,6,Numeric,false,Brics,true,121
ipaddrLite,13,6,Numeric,false,BricsOptimized,true,25
ipaddrLite,13,6,Numeric,false,JRegex,true,924
ipaddrLite,14,7,Numeric,false,JUtil,true,217
ipaddrLite,14,7,Numeric,false,Brics,true,92
ipaddrLite,14,7,Numeric,false,BricsOptimized,true,22
ipaddrLite,14,7,Numeric,false,JRegex,true,584
ipaddrLite,15,11,Numeric,true,JUtil,true,476
ipaddrLite,15,11,Numeric,true,Brics,true,350
ipaddrLite,15,11,Numeric,true,BricsOptimized,true,54
ipaddrLite,15,11,Numeric,true,JRegex,true,1600
ipaddrLite,16,12,Numeric,false,JUtil,true,672
ipaddrLite,16,12,Numeric,false,Brics,true,383
ipaddrLite,16,12,Numeric,false,BricsOptimized,true,56
ipaddrLite,16,12,Numeric,false,JRegex,true,1971
ipaddrLite,17,13,Numeric,false,JUtil,true,521
ipaddrLite,17,13,Numeric,false,Brics,true,299
ipaddrLite,17,13,Numeric,false,BricsOptimized,true,44
ipaddrLite,17,13,Numeric,false,JRegex,true,1500
ipaddrLite,18,12,Numeric,false,JUtil,true,499
ipaddrLite,18,12,Numeric,false,Brics,true,292
ipaddrLite,18,12,Numeric,false,BricsOptimized,true,45
ipaddrLite,18,12,Numeric,false,JRegex,true,1492
ipaddrLite,19,7,Numeric,true,JUtil,true,290
ipaddrLite,19,7,Numeric,true,Brics,true,227
ipaddrLite,19,7,Numeric,true,BricsOptimized,true,40
ipaddrLite,19,7,Numeric,true,JRegex,true,1219
ipaddrLite,20,9,Numeric,false,JUtil,true,178
ipaddrLite,20,9,Numeric,false,Brics,true,50
ipaddrLite,20,9,Numeric,false,BricsOptimized,true,18
ipaddrLite,20,9,Numeric,false,JRegex,true,472
ipaddrLite,21,10,Numeric,true,JUtil,true,448
ipaddrLite,21,10,Numeric,true,Brics,true,322
ipaddrLite,21,10,Numeric,true,BricsOptimized,true,52
ipaddrLite,21,10,Numeric,true,JRegex,true,1469
ipaddrLite,22,7,Numeric,true,JUtil,true,305
ipaddrLite,22,7,Numeric,true,Brics,true,216
ipaddrLite,22,7,Numeric,true,BricsOptimized,true,43
ipaddrLite,22,7,Numeric,true,JRegex,true,1223
ipaddrLite,23,9,Numeric,false,JUtil,true,203
ipaddrLite,23,9,Numeric,false,Brics,true,75
ipaddrLite,23,9,Numeric,false,BricsOptimized,true,21
ipaddrLite,23,9,Numeric,false,JRegex,true,536
ipaddrLite,24,9,Numeric,true,JUtil,true,403
ipaddrLite,24,9,Numeric,true,Brics,true,295
ipaddrLite,24,9,Numeric,true,BricsOptimized,true,49
ipaddrLite,24,9,Numeric,true,JRegex,true,1423
ipaddrLite,25,9,Numeric,false,JUtil,true,483
ipaddrLite,25,9,Numeric,false,Brics,true,241
ipaddrLite,25,9,Numeric,false,BricsOptimized,true,38
ipaddrLite,25,9,Numeric,false,JRegex,true,1408
ipaddrLite,26,7,Numeric,true,JUtil,true,291
ipaddrLite,26,7,Numeric,true,Brics,true,213
ipaddrLite,26,7,Numeric,true,BricsOptimized,true,40
ipaddrLite,26,7,Numeric,true,JRegex,true,1219
ipaddrLite,27,7,Numeric,true,JUtil,true,291
ipaddrLite,27,7,Numeric,true,Brics,true,225
ipaddrLite,27,7,Numeric,true,BricsOptimized,true,40
ipaddrLite,27,7,Numeric,true,JRegex,true,1221
ipaddrLite,28,8,Numeric,true,JUtil,true,325
ipaddrLite,28,8,Numeric,true,Brics,true,250
ipaddrLite,28,8,Numeric,true,BricsOptimized,true,43
ipaddrLite,28,8,Numeric,true,JRegex,true,1300
ipaddrLite,29,11,Numeric,true,JUtil,true,460
ipaddrLite,29,11,Numeric,true,Brics,true,343
ipaddrLite,29,11,Numeric,true,BricsOptimized,true,56
ipaddrLite,29,11,Numeric,true,JRegex,true,1528
ipaddrLite,30,10,Numeric,true,JUtil,true,406
ipaddrLite,30,10,Numeric,true,Brics,true,322
ipaddrLite,30,10,Numeric,true,BricsOptimized,true,50
ipaddrLite,30,10,Numeric,true,JRegex,true,1452
ipaddrLite,31,12,Numeric,false,JUtil,true,589
ipaddrLite,31,12,Numeric,false,Brics,true,343
ipaddrLite,31,12,Numeric,false,BricsOptimized,true,59
ipaddrLite,31,12,Numeric,false,JRegex,true,1840
ipaddrLite,32,14,Numeric,false,JUtil,true,681
ipaddrLite,32,14,Numeric,false,Brics,true,414
ipaddrLite,32,14,Numeric,false,BricsOptimized,true,62
ipaddrLite,32,14,Numeric,false,JRegex,true,2016
ipaddrLite,33,10,Numeric,true,JUtil,true,404
ipaddrLite,33,10,Numeric,true,Brics,true,327
ipaddrLite,33,10,Numeric,true,BricsOptimized,true,50
ipaddrLite,33,10,Numeric,true,JRegex,true,1474
ipaddrLite,34,10,Numeric,true,JUtil,true,407
ipaddrLite,34,10,Numeric,true,Brics,true,310
ipaddrLite,34,10,Numeric,true,BricsOptimized,true,50
ipaddrLite,34,10,Numeric,true,JRegex,true,1458
ipaddrLite,35,11,Numeric,false,JUtil,true,183
ipaddrLite,35,11,Numeric,false,Brics,true,50
ipaddrLite,35,11,Numeric,false,BricsOptimized,true,21
ipaddrLite,35,11,Numeric,false,JRegex,true,484
ipaddrLite,36,13,Numeric,false,JUtil,true,647
ipaddrLite,36,13,Numeric,false,Brics,true,380
ipaddrLite,36,13,Numeric,false,BricsOptimized,true,62
ipaddrLite,36,13,Numeric,false,JRegex,true,2014
ipaddrLite,37,10,Numeric,true,JUtil,true,404
ipaddrLite,37,10,Numeric,true,Brics,true,307
ipaddrLite,37,10,Numeric,true,BricsOptimized,true,52
ipaddrLite,37,10,Numeric,true,JRegex,true,1485
ipaddrLite,38,4,Numeric,false,JUtil,true,176
ipaddrLite,38,4,Numeric,false,Brics,true,53
ipaddrLite,38,4,Numeric,false,BricsOptimized,true,15
ipaddrLite,38,4,Numeric,false,JRegex,true,474
ipaddrLite,39,1,Numeric,false,JUtil,true,196
