RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
floatingLite,1,5,Numeric,true,JUtil,true,204
floatingLite,1,5,Numeric,true,Brics,true,166
floatingLite,1,5,Numeric,true,BricsOptimized,true,35
floatingLite,1,5,Numeric,true,JRegex,true,364
floatingLite,2,0,Numeric,false,JUtil,true,133
floatingLite,2,0,Numeric,false,Brics,true,15
floatingLite,2,0,Numeric,false,BricsOptimized,true,13
floatingLite,2,0,Numeric,false,JRegex,true,280
floatingLite,3,4,Numeric,true,JUtil,true,184
floatingLite,3,4,Numeric,true,Brics,true,142
floatingLite,3,4,Numeric,true,BricsOptimized,true,30
floatingLite,3,4,Numeric,true,JRegex,true,353
floatingLite,4,3,Numeric,false,JUtil,true,136
floatingLite,4,3,Numeric,false,Brics,true,55
floatingLite,4,3,Numeric,false,BricsOptimized,true,17
floatingLite,4,3,Numeric,false,JRegex,true,277
floatingLite,5,10,Numeric,false,JUtil,true,135
floatingLite,5,10,Numeric,false,Brics,true,53
floatingLite,5,10,Numeric,false,BricsOptimized,true,17
floatingLite,5,10,Numeric,false,JRegex,true,278
floatingLite,6,4,Numeric,false,JUtil,true,135
floatingLite,6,4,Numeric,false,Brics,true,54
floatingLite,6,4,Numeric,false,BricsOptimized,true,17
floatingLite,6,4,Numeric,false,JRegex,true,277
floatingLite,7,6,Numeric,true,JUtil,true,208
floatingLite,7,6,Numeric,true,Brics,true,207
floatingLite,7,6,Numeric,true,BricsOptimized,true,35
floatingLite,7,6,Numeric,true,JRegex,true,361
floatingLite,8,2,Numeric,false,JUtil,true,135
floatingLite,8,2,Numeric,false,Brics,true,53
floatingLite,8,2,Numeric,false,BricsOptimized,true,17
floatingLite,8,2,Numeric,false,JRegex,true,277
floatingLite,9,5,Numeric,false,JUtil,true,243
floatingLite,9,5,Numeric,false,Brics,true,141
floatingLite,9,5,Numeric,false,BricsOptimized,true,27
floatingLite,9,5,Numeric,false,JRegex,true,506
floatingLite,10,8,Numeric,true,JUtil,true,245
floatingLite,10,8,Numeric,true,Brics,true,278
floatingLite,10,8,Numeric,true,BricsOptimized,true,44
floatingLite,10,8,Numeric,true,JRegex,true,357
floatingLite,11,7,Numeric,false,JUtil,true,359
floatingLite,11,7,Numeric,false,Brics,true,218
floatingLite,11,7,Numeric,false,BricsOptimized,true,33
floatingLite,11,7,Numeric,false,JRegex,true,673
floatingLite,12,3,Numeric,false,JUtil,true,231
floatingLite,12,3,Numeric,false,Brics,true,104
floatingLite,12,3,Numeric,false,BricsOptimized,true,25
floatingLite,12,3,Numeric,false,JRegex,true,506
floatingLite,13,6,Numeric,true,JUtil,true,220
floatingLite,13,6,Numeric,true,Brics,true,216
floatingLite,13,6,Numeric,true,BricsOptimized,true,36
floatingLite,13,6,Numeric,true,JRegex,true,333
floatingLite,14,6,Numeric,false,JUtil,true,168
floatingLite,14,6,Numeric,false,Brics,true,73
floatingLite,14,6,Numeric,false,BricsOptimized,true,20
floatingLite,14,6,Numeric,false,JRegex,true,354
floatingLite,15,5,Numeric,false,JUtil,true,169
floatingLite,15,5,Numeric,false,Brics,true,77
floatingLite,15,5,Numeric,false,BricsOptimized,true,20
floatingLite,15,5,Numeric,false,JRegex,true,350
floatingLite,16,3,Numeric,false,JUtil,true,172
floatingLite,16,3,Numeric,false,Brics,true,72
floatingLite,16,3,Numeric,false,BricsOptimized,true,19
floatingLite,16,3,Numeric,false,JRegex,true,345
floatingLite,17,7,Numeric,true,JUtil,true,232
floatingLite,17,7,Numeric,true,Brics,true,254
floatingLite,17,7,Numeric,true,BricsOptimized,true,39
floatingLite,17,7,Numeric,true,JRegex,true,341
floatingLite,18,2,Numeric,true,JUtil,true,213
floatingLite,18,2,Numeric,true,Brics,true,91
floatingLite,18,2,Numeric,true,BricsOptimized,true,23
floatingLite,18,2,Numeric,true,JRegex,true,356
floatingLite,19,5,Numeric,true,JUtil,true,203
floatingLite,19,5,Numeric,true,Brics,true,184
floatingLite,19,5,Numeric,true,BricsOptimized,true,32
floatingLite,19,5,Numeric,true,JRegex,true,339
floatingLite,20,3,Numeric,true,JUtil,true,214
floatingLite,20,3,Numeric,true,Brics,true,115
floatingLite,20,3,Numeric,true,BricsOptimized,true,26
floatingLite,20,3,Numeric,true,JRegex,true,353
floatingLite,21,4,Numeric,true,JUtil,true,256
floatingLite,21,4,Numeric,true,Brics,true,154
floatingLite,21,4,Numeric,true,BricsOptimized,true,30
floatingLite,21,4,Numeric,true,JRegex,true,364
floatingLite,22,5,Numeric,false,JUtil,true,173
floatingLite,22,5,Numeric,false,Brics,true,78
