RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
sololettereLite,1,0,Alfabetic,false,JUtil,true,134
sololettereLite,1,0,Alfabetic,false,Brics,true,18
sololettereLite,1,0,Alfabetic,false,BricsOptimized,true,19
sololettereLite,1,0,Alfabetic,false,JRegex,true,163
sololettereLite,2,1,Alfabetic,true,JUtil,true,133
sololettereLite,2,1,Alfabetic,true,Brics,true,52
sololettereLite,2,1,Alfabetic,true,BricsOptimized,true,21
sololettereLite,2,1,Alfabetic,true,JRegex,true,213
sololettereLite,3,13,Alfabetic,true,JUtil,true,199
sololettereLite,3,13,Alfabetic,true,Brics,true,480
sololettereLite,3,13,Alfabetic,true,BricsOptimized,true,63
sololettereLite,3,13,Alfabetic,true,JRegex,true,212
sololettereLite,4,11,Alfabetic,false,JUtil,true,209
sololettereLite,4,11,Alfabetic,false,Brics,true,467
sololettereLite,4,11,Alfabetic,false,BricsOptimized,true,54
sololettereLite,4,11,Alfabetic,false,JRegex,true,602
sololettereLite,5,25,Alfabetic,true,JUtil,true,250
sololettereLite,5,25,Alfabetic,true,Brics,true,827
sololettereLite,5,25,Alfabetic,true,BricsOptimized,true,110
sololettereLite,5,25,Alfabetic,true,JRegex,true,260
sololettereLite,6,21,Alfabetic,false,JUtil,true,245
sololettereLite,6,21,Alfabetic,false,Brics,true,771
sololettereLite,6,21,Alfabetic,false,BricsOptimized,true,88
sololettereLite,6,21,Alfabetic,false,JRegex,true,1129
sololettereLite,7,15,Alfabetic,true,JUtil,true,207
sololettereLite,7,15,Alfabetic,true,Brics,true,540
sololettereLite,7,15,Alfabetic,true,BricsOptimized,true,70
sololettereLite,7,15,Alfabetic,true,JRegex,true,223
sololettereLite,8,7,Alfabetic,false,JUtil,true,167
sololettereLite,8,7,Alfabetic,false,Brics,true,185
sololettereLite,8,7,Alfabetic,false,BricsOptimized,true,37
sololettereLite,8,7,Alfabetic,false,JRegex,true,431
sololettereLite,9,28,Alfabetic,true,JUtil,true,248
sololettereLite,9,28,Alfabetic,true,Brics,true,955
sololettereLite,9,28,Alfabetic,true,BricsOptimized,true,127
sololettereLite,9,28,Alfabetic,true,JRegex,true,229
sololettereLite,10,47,Alfabetic,false,JUtil,true,142
sololettereLite,10,47,Alfabetic,false,Brics,true,48
sololettereLite,10,47,Alfabetic,false,BricsOptimized,true,17
sololettereLite,10,47,Alfabetic,false,JRegex,true,188
sololettereLite,11,120,Alfabetic,true,JUtil,true,401
sololettereLite,11,120,Alfabetic,true,Brics,true,3943
sololettereLite,11,120,Alfabetic,true,BricsOptimized,true,597
sololettereLite,11,120,Alfabetic,true,JRegex,true,381
sololettereLite,12,45,Alfabetic,false,JUtil,true,117
sololettereLite,12,45,Alfabetic,false,Brics,true,43
sololettereLite,12,45,Alfabetic,false,BricsOptimized,true,16
sololettereLite,12,45,Alfabetic,false,JRegex,true,173
sololettereLite,13,270,Alfabetic,true,JUtil,true,811
sololettereLite,13,270,Alfabetic,true,Brics,true,8775
sololettereLite,13,270,Alfabetic,true,BricsOptimized,true,1372
sololettereLite,13,270,Alfabetic,true,JRegex,true,674
sololettereLite,14,80,Alfabetic,false,JUtil,true,374
sololettereLite,14,80,Alfabetic,false,Brics,true,2349
sololettereLite,14,80,Alfabetic,false,BricsOptimized,true,401
sololettereLite,14,80,Alfabetic,false,JRegex,true,3086
sololettereLite,15,5,Alfabetic,false,JUtil,true,117
sololettereLite,15,5,Alfabetic,false,Brics,true,43
sololettereLite,15,5,Alfabetic,false,BricsOptimized,true,15
sololettereLite,15,5,Alfabetic,false,JRegex,true,166
sololettereLite,16,92,Alfabetic,true,JUtil,true,330
sololettereLite,16,92,Alfabetic,true,Brics,true,3030
sololettereLite,16,92,Alfabetic,true,BricsOptimized,true,450
sololettereLite,16,92,Alfabetic,true,JRegex,true,323
sololettereLite,17,35,Alfabetic,true,JUtil,true,213
sololettereLite,17,35,Alfabetic,true,Brics,true,1169
sololettereLite,17,35,Alfabetic,true,BricsOptimized,true,158
sololettereLite,17,35,Alfabetic,true,JRegex,true,241
sololettereLite,18,39,Alfabetic,false,JUtil,true,118
sololettereLite,18,39,Alfabetic,false,Brics,true,46
sololettereLite,18,39,Alfabetic,false,BricsOptimized,true,15
sololettereLite,18,39,Alfabetic,false,JRegex,true,180
sololettereLite,19,51,Alfabetic,true,JUtil,true,257
sololettereLite,19,51,Alfabetic,true,Brics,true,1613
sololettereLite,19,51,Alfabetic,true,BricsOptimized,true,238
sololettereLite,19,51,Alfabetic,true,JRegex,true,261
sololettereLite,20,57,Alfabetic,false,JUtil,true,115
sololettereLite,20,57,Alfabetic,false,Brics,true,43
sololettereLite,20,57,Alfabetic,false,BricsOptimized,true,18
sololettereLite,20,57,Alfabetic,false,JRegex,true,178
sololettereLite,21,118,Alfabetic,true,JUtil,true,383
sololettereLite,21,118,Alfabetic,true,Brics,true,3871
sololettereLite,21,118,Alfabetic,true,BricsOptimized,true,588
sololettereLite,21,118,Alfabetic,true,JRegex,true,379
sololettereLite,22,80,Alfabetic,true,JUtil,true,306
sololettereLite,22,80,Alfabetic,true,Brics,true,2635
sololettereLite,22,80,Alfabetic,true,BricsOptimized,true,389
sololettereLite,22,80,Alfabetic,true,JRegex,true,305
sololettereLite,23,59,Alfabetic,true,JUtil,true,318
sololettereLite,23,59,Alfabetic,true,Brics,true,1616
sololettereLite,23,59,Alfabetic,true,BricsOptimized,true,281
sololettereLite,23,59,Alfabetic,true,JRegex,true,273
sololettereLite,24,76,Alfabetic,false,JUtil,true,431
sololettereLite,24,76,Alfabetic,false,Brics,true,2124
sololettereLite,24,76,Alfabetic,false,BricsOptimized,true,398
sololettereLite,24,76,Alfabetic,false,JRegex,true,3115
sololettereLite,25,19,Alfabetic,false,JUtil,true,117
sololettereLite,25,19,Alfabetic,false,Brics,true,43
sololettereLite,25,19,Alfabetic,false,BricsOptimized,true,18
sololettereLite,25,19,Alfabetic,false,JRegex,true,165
sololettereLite,26,29,Alfabetic,false,JUtil,true,248
sololettereLite,26,29,Alfabetic,false,Brics,true,784
sololettereLite,26,29,Alfabetic,false,BricsOptimized,true,115
sololettereLite,26,29,Alfabetic,false,JRegex,true,1239
sololettereLite,27,3,Alfabetic,false,JUtil,true,116
sololettereLite,27,3,Alfabetic,false,Brics,true,43
sololettereLite,27,3,Alfabetic,false,BricsOptimized,true,15
sololettereLite,27,3,Alfabetic,false,JRegex,true,167
sololettereLite,28,10,Alfabetic,true,JUtil,true,178
sololettereLite,28,10,Alfabetic,true,Brics,true,267
sololettereLite,28,10,Alfabetic,true,BricsOptimized,true,50
sololettereLite,28,10,Alfabetic,true,JRegex,true,193
sololettereLite,29,9,Alfabetic,false,JUtil,true,174
sololettereLite,29,9,Alfabetic,false,Brics,true,237
sololettereLite,29,9,Alfabetic,false,BricsOptimized,true,38
sololettereLite,29,9,Alfabetic,false,JRegex,true,452
sololettereLite,30,115,Alfabetic,true,JUtil,true,394
