RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
onlyLettersLite,1,4,Alfabetic,true,JUtil,true,178
onlyLettersLite,1,4,Alfabetic,true,Brics,true,131
onlyLettersLite,1,4,Alfabetic,true,BricsOptimized,true,34
onlyLettersLite,1,4,Alfabetic,true,JRegex,true,197
onlyLettersLite,2,8,Alfabetic,true,JUtil,true,163
onlyLettersLite,2,8,Alfabetic,true,Brics,true,251
onlyLettersLite,2,8,Alfabetic,true,BricsOptimized,true,43
onlyLettersLite,2,8,Alfabetic,true,JRegex,true,186
onlyLettersLite,3,12,Alfabetic,true,JUtil,true,172
onlyLettersLite,3,12,Alfabetic,true,Brics,true,376
onlyLettersLite,3,12,Alfabetic,true,BricsOptimized,true,56
onlyLettersLite,3,12,Alfabetic,true,JRegex,true,193
onlyLettersLite,4,16,Alfabetic,true,JUtil,true,183
onlyLettersLite,4,16,Alfabetic,true,Brics,true,489
onlyLettersLite,4,16,Alfabetic,true,BricsOptimized,true,69
onlyLettersLite,4,16,Alfabetic,true,JRegex,true,200
onlyLettersLite,5,20,Alfabetic,true,JUtil,true,194
onlyLettersLite,5,20,Alfabetic,true,Brics,true,642
onlyLettersLite,5,20,Alfabetic,true,BricsOptimized,true,83
onlyLettersLite,5,20,Alfabetic,true,JRegex,true,203
onlyLettersLite,6,24,Alfabetic,true,JUtil,true,204
onlyLettersLite,6,24,Alfabetic,true,Brics,true,746
onlyLettersLite,6,24,Alfabetic,true,BricsOptimized,true,102
onlyLettersLite,6,24,Alfabetic,true,JRegex,true,208
onlyLettersLite,7,28,Alfabetic,true,JUtil,true,214
onlyLettersLite,7,28,Alfabetic,true,Brics,true,869
onlyLettersLite,7,28,Alfabetic,true,BricsOptimized,true,124
onlyLettersLite,7,28,Alfabetic,true,JRegex,true,214
onlyLettersLite,8,32,Alfabetic,true,JUtil,true,221
onlyLettersLite,8,32,Alfabetic,true,Brics,true,1015
onlyLettersLite,8,32,Alfabetic,true,BricsOptimized,true,144
onlyLettersLite,8,32,Alfabetic,true,JRegex,true,217
onlyLettersLite,9,36,Alfabetic,true,JUtil,true,231
onlyLettersLite,9,36,Alfabetic,true,Brics,true,1129
onlyLettersLite,9,36,Alfabetic,true,BricsOptimized,true,164
onlyLettersLite,9,36,Alfabetic,true,JRegex,true,222
onlyLettersLite,10,40,Alfabetic,true,JUtil,true,250
onlyLettersLite,10,40,Alfabetic,true,Brics,true,1181
onlyLettersLite,10,40,Alfabetic,true,BricsOptimized,true,185
onlyLettersLite,10,40,Alfabetic,true,JRegex,true,228
onlyLettersLite,11,44,Alfabetic,true,JUtil,true,255
onlyLettersLite,11,44,Alfabetic,true,Brics,true,1352
onlyLettersLite,11,44,Alfabetic,true,BricsOptimized,true,205
onlyLettersLite,11,44,Alfabetic,true,JRegex,true,234
onlyLettersLite,12,48,Alfabetic,true,JUtil,true,269
onlyLettersLite,12,48,Alfabetic,true,Brics,true,1459
onlyLettersLite,12,48,Alfabetic,true,BricsOptimized,true,226
onlyLettersLite,12,48,Alfabetic,true,JRegex,true,237
onlyLettersLite,13,52,Alfabetic,true,JUtil,true,285
onlyLettersLite,13,52,Alfabetic,true,Brics,true,1587
onlyLettersLite,13,52,Alfabetic,true,BricsOptimized,true,251
onlyLettersLite,13,52,Alfabetic,true,JRegex,true,242
onlyLettersLite,14,56,Alfabetic,true,JUtil,true,286
onlyLettersLite,14,56,Alfabetic,true,Brics,true,1738
onlyLettersLite,14,56,Alfabetic,true,BricsOptimized,true,267
onlyLettersLite,14,56,Alfabetic,true,JRegex,true,251
onlyLettersLite,15,60,Alfabetic,true,JUtil,true,294
onlyLettersLite,15,60,Alfabetic,true,Brics,true,1889
