RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
numeriLite,1,4,Numeric,true,JUtil,true,177
numeriLite,1,4,Numeric,true,Brics,true,134
numeriLite,1,4,Numeric,true,BricsOptimized,true,31
numeriLite,1,4,Numeric,true,JRegex,true,203
numeriLite,2,8,Numeric,true,JUtil,true,134
numeriLite,2,8,Numeric,true,Brics,true,261
numeriLite,2,8,Numeric,true,BricsOptimized,true,56
numeriLite,2,8,Numeric,true,JRegex,true,211
numeriLite,3,12,Numeric,true,JUtil,true,142
numeriLite,3,12,Numeric,true,Brics,true,374
numeriLite,3,12,Numeric,true,BricsOptimized,true,58
numeriLite,3,12,Numeric,true,JRegex,true,200
numeriLite,4,16,Numeric,true,JUtil,true,147
numeriLite,4,16,Numeric,true,Brics,true,495
numeriLite,4,16,Numeric,true,BricsOptimized,true,75
numeriLite,4,16,Numeric,true,JRegex,true,206
numeriLite,5,20,Numeric,true,JUtil,true,155
numeriLite,5,20,Numeric,true,Brics,true,644
numeriLite,5,20,Numeric,true,BricsOptimized,true,95
numeriLite,5,20,Numeric,true,JRegex,true,212
numeriLite,6,24,Numeric,true,JUtil,true,165
numeriLite,6,24,Numeric,true,Brics,true,756
numeriLite,6,24,Numeric,true,BricsOptimized,true,103
numeriLite,6,24,Numeric,true,JRegex,true,212
numeriLite,7,28,Numeric,true,JUtil,true,167
numeriLite,7,28,Numeric,true,Brics,true,867
numeriLite,7,28,Numeric,true,BricsOptimized,true,124
numeriLite,7,28,Numeric,true,JRegex,true,217
numeriLite,8,32,Numeric,true,JUtil,true,171
numeriLite,8,32,Numeric,true,Brics,true,996
numeriLite,8,32,Numeric,true,BricsOptimized,true,148
numeriLite,8,32,Numeric,true,JRegex,true,230
numeriLite,9,36,Numeric,true,JUtil,true,186
numeriLite,9,36,Numeric,true,Brics,true,1112
numeriLite,9,36,Numeric,true,BricsOptimized,true,164
numeriLite,9,36,Numeric,true,JRegex,true,225
numeriLite,10,40,Numeric,true,JUtil,true,181
numeriLite,10,40,Numeric,true,Brics,true,1232
numeriLite,10,40,Numeric,true,BricsOptimized,true,187
numeriLite,10,40,Numeric,true,JRegex,true,240
numeriLite,11,44,Numeric,true,JUtil,true,195
numeriLite,11,44,Numeric,true,Brics,true,1350
numeriLite,11,44,Numeric,true,BricsOptimized,true,207
numeriLite,11,44,Numeric,true,JRegex,true,236
numeriLite,12,48,Numeric,true,JUtil,true,196
numeriLite,12,48,Numeric,true,Brics,true,1478
numeriLite,12,48,Numeric,true,BricsOptimized,true,230
numeriLite,12,48,Numeric,true,JRegex,true,238
numeriLite,13,52,Numeric,true,JUtil,true,208
numeriLite,13,52,Numeric,true,Brics,true,1603
