RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
alphanumericLite,1,4,Misto,true,JUtil,true,184
alphanumericLite,1,4,Misto,true,Brics,true,135
alphanumericLite,1,4,Misto,true,BricsOptimized,true,34
alphanumericLite,1,4,Misto,true,JRegex,true,194
alphanumericLite,2,8,Misto,true,JUtil,true,183
alphanumericLite,2,8,Misto,true,Brics,true,250
alphanumericLite,2,8,Misto,true,BricsOptimized,true,46
alphanumericLite,2,8,Misto,true,JRegex,true,186
alphanumericLite,3,12,Misto,true,JUtil,true,217
alphanumericLite,3,12,Misto,true,Brics,true,383
alphanumericLite,3,12,Misto,true,BricsOptimized,true,56
alphanumericLite,3,12,Misto,true,JRegex,true,194
alphanumericLite,4,16,Misto,true,JUtil,true,250
alphanumericLite,4,16,Misto,true,Brics,true,473
alphanumericLite,4,16,Misto,true,BricsOptimized,true,68
alphanumericLite,4,16,Misto,true,JRegex,true,198
alphanumericLite,5,20,Misto,true,JUtil,true,284
alphanumericLite,5,20,Misto,true,Brics,true,593
alphanumericLite,5,20,Misto,true,BricsOptimized,true,84
alphanumericLite,5,20,Misto,true,JRegex,true,206
alphanumericLite,6,24,Misto,true,JUtil,true,319
alphanumericLite,6,24,Misto,true,Brics,true,744
alphanumericLite,6,24,Misto,true,BricsOptimized,true,100
alphanumericLite,6,24,Misto,true,JRegex,true,210
alphanumericLite,7,28,Misto,true,JUtil,true,362
alphanumericLite,7,28,Misto,true,Brics,true,886
alphanumericLite,7,28,Misto,true,BricsOptimized,true,123
alphanumericLite,7,28,Misto,true,JRegex,true,214
alphanumericLite,8,32,Misto,true,JUtil,true,394
alphanumericLite,8,32,Misto,true,Brics,true,977
alphanumericLite,8,32,Misto,true,BricsOptimized,true,143
alphanumericLite,8,32,Misto,true,JRegex,true,217
alphanumericLite,9,36,Misto,true,JUtil,true,436
alphanumericLite,9,36,Misto,true,Brics,true,1154
alphanumericLite,9,36,Misto,true,BricsOptimized,true,165
alphanumericLite,9,36,Misto,true,JRegex,true,222
alphanumericLite,10,40,Misto,true,JUtil,true,472
alphanumericLite,10,40,Misto,true,Brics,true,1213
alphanumericLite,10,40,Misto,true,BricsOptimized,true,187
alphanumericLite,10,40,Misto,true,JRegex,true,227
alphanumericLite,11,44,Misto,true,JUtil,true,504
alphanumericLite,11,44,Misto,true,Brics,true,1389
alphanumericLite,11,44,Misto,true,BricsOptimized,true,206
alphanumericLite,11,44,Misto,true,JRegex,true,234
alphanumericLite,12,48,Misto,true,JUtil,true,541
alphanumericLite,12,48,Misto,true,Brics,true,1460
alphanumericLite,12,48,Misto,true,BricsOptimized,true,226
alphanumericLite,12,48,Misto,true,JRegex,true,237
alphanumericLite,13,52,Misto,true,JUtil,true,577
alphanumericLite,13,52,Misto,true,Brics,true,1622
alphanumericLite,13,52,Misto,true,BricsOptimized,true,250
alphanumericLite,13,52,Misto,true,JRegex,true,241
alphanumericLite,14,56,Misto,true,JUtil,true,617
alphanumericLite,14,56,Misto,true,Brics,true,1717
alphanumericLite,14,56,Misto,true,BricsOptimized,true,270
alphanumericLite,14,56,Misto,true,JRegex,true,252
