RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
notnumeriLite,1,4,Numeric,false,JUtil,true,140
notnumeriLite,1,4,Numeric,false,Brics,true,74
notnumeriLite,1,4,Numeric,false,BricsOptimized,true,25
notnumeriLite,1,4,Numeric,false,JRegex,true,216
notnumeriLite,2,8,Numeric,false,JUtil,true,145
notnumeriLite,2,8,Numeric,false,Brics,true,140
notnumeriLite,2,8,Numeric,false,BricsOptimized,true,25
notnumeriLite,2,8,Numeric,false,JRegex,true,287
notnumeriLite,3,12,Numeric,false,JUtil,true,108
notnumeriLite,3,12,Numeric,false,Brics,true,41
notnumeriLite,3,12,Numeric,false,BricsOptimized,true,16
notnumeriLite,3,12,Numeric,false,JRegex,true,173
notnumeriLite,4,16,Numeric,false,JUtil,true,141
notnumeriLite,4,16,Numeric,false,Brics,true,172
notnumeriLite,4,16,Numeric,false,BricsOptimized,true,30
notnumeriLite,4,16,Numeric,false,JRegex,true,308
notnumeriLite,5,20,Numeric,false,JUtil,true,107
notnumeriLite,5,20,Numeric,false,Brics,true,39
notnumeriLite,5,20,Numeric,false,BricsOptimized,true,17
notnumeriLite,5,20,Numeric,false,JRegex,true,167
notnumeriLite,6,24,Numeric,false,JUtil,true,108
notnumeriLite,6,24,Numeric,false,Brics,true,39
notnumeriLite,6,24,Numeric,false,BricsOptimized,true,16
notnumeriLite,6,24,Numeric,false,JRegex,true,168
notnumeriLite,7,28,Numeric,false,JUtil,true,108
notnumeriLite,7,28,Numeric,false,Brics,true,39
notnumeriLite,7,28,Numeric,false,BricsOptimized,true,16
notnumeriLite,7,28,Numeric,false,JRegex,true,170
notnumeriLite,8,32,Numeric,false,JUtil,true,108
notnumeriLite,8,32,Numeric,false,Brics,true,39
notnumeriLite,8,32,Numeric,false,BricsOptimized,true,16
notnumeriLite,8,32,Numeric,false,JRegex,true,169
notnumeriLite,9,36,Numeric,false,JUtil,true,141
notnumeriLite,9,36,Numeric,false,Brics,true,170
notnumeriLite,9,36,Numeric,false,BricsOptimized,true,30
notnumeriLite,9,36,Numeric,false,JRegex,true,311
notnumeriLite,10,40,Numeric,false,JUtil,true,124
notnumeriLite,10,40,Numeric,false,Brics,true,73
notnumeriLite,10,40,Numeric,false,BricsOptimized,true,20
notnumeriLite,10,40,Numeric,false,JRegex,true,215
notnumeriLite,11,44,Numeric,false,JUtil,true,131
notnumeriLite,11,44,Numeric,false,Brics,true,104
notnumeriLite,11,44,Numeric,false,BricsOptimized,true,22
notnumeriLite,11,44,Numeric,false,JRegex,true,246
notnumeriLite,12,48,Numeric,false,JUtil,true,107
notnumeriLite,12,48,Numeric,false,Brics,true,40
notnumeriLite,12,48,Numeric,false,BricsOptimized,true,16
notnumeriLite,12,48,Numeric,false,JRegex,true,175
notnumeriLite,13,52,Numeric,false,JUtil,true,140
notnumeriLite,13,52,Numeric,false,Brics,true,170
notnumeriLite,13,52,Numeric,false,BricsOptimized,true,30
notnumeriLite,13,52,Numeric,false,JRegex,true,316
notnumeriLite,14,56,Numeric,false,JUtil,true,143
notnumeriLite,14,56,Numeric,false,Brics,true,203
notnumeriLite,14,56,Numeric,false,BricsOptimized,true,35
notnumeriLite,14,56,Numeric,false,JRegex,true,352
notnumeriLite,15,60,Numeric,false,JUtil,true,107
notnumeriLite,15,60,Numeric,false,Brics,true,39
notnumeriLite,15,60,Numeric,false,BricsOptimized,true,16
notnumeriLite,15,60,Numeric,false,JRegex,true,183
notnumeriLite,16,64,Numeric,false,JUtil,true,178
notnumeriLite,16,64,Numeric,false,Brics,true,529
notnumeriLite,16,64,Numeric,false,BricsOptimized,true,66
notnumeriLite,16,64,Numeric,false,JRegex,true,659
notnumeriLite,17,68,Numeric,false,JUtil,true,108
notnumeriLite,17,68,Numeric,false,Brics,true,39
notnumeriLite,17,68,Numeric,false,BricsOptimized,true,16
notnumeriLite,17,68,Numeric,false,JRegex,true,183
notnumeriLite,18,72,Numeric,false,JUtil,true,148
notnumeriLite,18,72,Numeric,false,Brics,true,170
notnumeriLite,18,72,Numeric,false,BricsOptimized,true,29
notnumeriLite,18,72,Numeric,false,JRegex,true,327
notnumeriLite,19,76,Numeric,false,JUtil,true,107
notnumeriLite,19,76,Numeric,false,Brics,true,39
notnumeriLite,19,76,Numeric,false,BricsOptimized,true,16
notnumeriLite,19,76,Numeric,false,JRegex,true,186
notnumeriLite,20,80,Numeric,false,JUtil,true,137
notnumeriLite,20,80,Numeric,false,Brics,true,137
notnumeriLite,20,80,Numeric,false,BricsOptimized,true,25
notnumeriLite,20,80,Numeric,false,JRegex,true,293
notnumeriLite,21,84,Numeric,false,JUtil,true,107
notnumeriLite,21,84,Numeric,false,Brics,true,39
notnumeriLite,21,84,Numeric,false,BricsOptimized,true,16
notnumeriLite,21,84,Numeric,false,JRegex,true,186
notnumeriLite,22,88,Numeric,false,JUtil,true,130
notnumeriLite,22,88,Numeric,false,Brics,true,104
notnumeriLite,22,88,Numeric,false,BricsOptimized,true,22
notnumeriLite,22,88,Numeric,false,JRegex,true,263
notnumeriLite,23,92,Numeric,false,JUtil,true,119
notnumeriLite,23,92,Numeric,false,Brics,true,72
notnumeriLite,23,92,Numeric,false,BricsOptimized,true,19
notnumeriLite,23,92,Numeric,false,JRegex,true,232
notnumeriLite,24,96,Numeric,false,JUtil,true,106
notnumeriLite,24,96,Numeric,false,Brics,true,39
notnumeriLite,24,96,Numeric,false,BricsOptimized,true,18
notnumeriLite,24,96,Numeric,false,JRegex,true,192
notnumeriLite,25,100,Numeric,false,JUtil,true,119
notnumeriLite,25,100,Numeric,false,Brics,true,72
notnumeriLite,25,100,Numeric,false,BricsOptimized,true,19
notnumeriLite,25,100,Numeric,false,JRegex,true,238
notnumeriLite,26,104,Numeric,false,JUtil,true,107
notnumeriLite,26,104,Numeric,false,Brics,true,40
notnumeriLite,26,104,Numeric,false,BricsOptimized,true,16
notnumeriLite,26,104,Numeric,false,JRegex,true,196
notnumeriLite,27,108,Numeric,false,JUtil,true,107
notnumeriLite,27,108,Numeric,false,Brics,true,39
notnumeriLite,27,108,Numeric,false,BricsOptimized,true,16
notnumeriLite,27,108,Numeric,false,JRegex,true,199
notnumeriLite,28,112,Numeric,false,JUtil,true,119
notnumeriLite,28,112,Numeric,false,Brics,true,72
notnumeriLite,28,112,Numeric,false,BricsOptimized,true,19
notnumeriLite,28,112,Numeric,false,JRegex,true,244
notnumeriLite,29,116,Numeric,false,JUtil,true,140
notnumeriLite,29,116,Numeric,false,Brics,true,170
notnumeriLite,29,116,Numeric,false,BricsOptimized,true,30
notnumeriLite,29,116,Numeric,false,JRegex,true,347
notnumeriLite,30,120,Numeric,false,JUtil,true,137
notnumeriLite,30,120,Numeric,false,Brics,true,137
notnumeriLite,30,120,Numeric,false,BricsOptimized,true,27
notnumeriLite,30,120,Numeric,false,JRegex,true,316
notnumeriLite,31,124,Numeric,false,JUtil,true,140
notnumeriLite,31,124,Numeric,false,Brics,true,170
notnumeriLite,31,124,Numeric,false,BricsOptimized,true,30
notnumeriLite,31,124,Numeric,false,JRegex,true,352
notnumeriLite,32,128,Numeric,false,JUtil,true,107
notnumeriLite,32,128,Numeric,false,Brics,true,39
notnumeriLite,32,128,Numeric,false,BricsOptimized,true,16
notnumeriLite,32,128,Numeric,false,JRegex,true,209
notnumeriLite,33,132,Numeric,false,JUtil,true,140
notnumeriLite,33,132,Numeric,false,Brics,true,170
notnumeriLite,33,132,Numeric,false,BricsOptimized,true,30
notnumeriLite,33,132,Numeric,false,JRegex,true,354
notnumeriLite,34,136,Numeric,false,JUtil,true,119
notnumeriLite,34,136,Numeric,false,Brics,true,72
notnumeriLite,34,136,Numeric,false,BricsOptimized,true,20
notnumeriLite,34,136,Numeric,false,JRegex,true,258
notnumeriLite,35,140,Numeric,false,JUtil,true,120
notnumeriLite,35,140,Numeric,false,Brics,true,72
notnumeriLite,35,140,Numeric,false,BricsOptimized,true,19
notnumeriLite,35,140,Numeric,false,JRegex,true,264
notnumeriLite,36,144,Numeric,false,JUtil,true,107
notnumeriLite,36,144,Numeric,false,Brics,true,39
notnumeriLite,36,144,Numeric,false,BricsOptimized,true,16
notnumeriLite,36,144,Numeric,false,JRegex,true,217
notnumeriLite,37,148,Numeric,false,JUtil,true,119
notnumeriLite,37,148,Numeric,false,Brics,true,72
notnumeriLite,37,148,Numeric,false,BricsOptimized,true,22
notnumeriLite,37,148,Numeric,false,JRegex,true,272
notnumeriLite,38,152,Numeric,false,JUtil,true,141
notnumeriLite,38,152,Numeric,false,Brics,true,170
notnumeriLite,38,152,Numeric,false,BricsOptimized,true,30
notnumeriLite,38,152,Numeric,false,JRegex,true,404
notnumeriLite,39,156,Numeric,false,JUtil,true,159
notnumeriLite,39,156,Numeric,false,Brics,true,240
notnumeriLite,39,156,Numeric,false,BricsOptimized,true,37
notnumeriLite,39,156,Numeric,false,JRegex,true,439
notnumeriLite,40,160,Numeric,false,JUtil,true,119
notnumeriLite,40,160,Numeric,false,Brics,true,72
notnumeriLite,40,160,Numeric,false,BricsOptimized,true,19
notnumeriLite,40,160,Numeric,false,JRegex,true,272
notnumeriLite,41,164,Numeric,false,JUtil,true,107
notnumeriLite,41,164,Numeric,false,Brics,true,39
notnumeriLite,41,164,Numeric,false,BricsOptimized,true,17
notnumeriLite,41,164,Numeric,false,JRegex,true,230
notnumeriLite,42,168,Numeric,false,JUtil,true,139
notnumeriLite,42,168,Numeric,false,Brics,true,170
notnumeriLite,42,168,Numeric,false,BricsOptimized,true,29
notnumeriLite,42,168,Numeric,false,JRegex,true,379
notnumeriLite,43,172,Numeric,false,JUtil,true,106
notnumeriLite,43,172,Numeric,false,Brics,true,39
notnumeriLite,43,172,Numeric,false,BricsOptimized,true,16
notnumeriLite,43,172,Numeric,false,JRegex,true,232
notnumeriLite,44,176,Numeric,false,JUtil,true,106
notnumeriLite,44,176,Numeric,false,Brics,true,39
notnumeriLite,44,176,Numeric,false,BricsOptimized,true,16
notnumeriLite,44,176,Numeric,false,JRegex,true,234
notnumeriLite,45,180,Numeric,false,JUtil,true,106
notnumeriLite,45,180,Numeric,false,Brics,true,39
notnumeriLite,45,180,Numeric,false,BricsOptimized,true,16
