RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
falselettereLite,1,4,Alfabetico,false,JUtil,true,137
falselettereLite,1,4,Alfabetico,false,Brics,true,43
falselettereLite,1,4,Alfabetico,false,BricsOptimized,true,21
falselettereLite,1,4,Alfabetico,false,JRegex,true,173
falselettereLite,2,8,Alfabetico,false,JUtil,true,124
falselettereLite,2,8,Alfabetico,false,Brics,true,76
falselettereLite,2,8,Alfabetico,false,BricsOptimized,true,20
falselettereLite,2,8,Alfabetico,false,JRegex,true,223
falselettereLite,3,12,Alfabetico,false,JUtil,true,122
falselettereLite,3,12,Alfabetico,false,Brics,true,74
falselettereLite,3,12,Alfabetico,false,BricsOptimized,true,19
falselettereLite,3,12,Alfabetico,false,JRegex,true,213
falselettereLite,4,16,Alfabetico,false,JUtil,true,109
falselettereLite,4,16,Alfabetico,false,Brics,true,42
falselettereLite,4,16,Alfabetico,false,BricsOptimized,true,16
falselettereLite,4,16,Alfabetico,false,JRegex,true,166
falselettereLite,5,20,Alfabetico,false,JUtil,true,109
falselettereLite,5,20,Alfabetico,false,Brics,true,42
falselettereLite,5,20,Alfabetico,false,BricsOptimized,true,16
falselettereLite,5,20,Alfabetico,false,JRegex,true,167
falselettereLite,6,24,Alfabetico,false,JUtil,true,124
falselettereLite,6,24,Alfabetico,false,Brics,true,73
falselettereLite,6,24,Alfabetico,false,BricsOptimized,true,19
falselettereLite,6,24,Alfabetico,false,JRegex,true,211
falselettereLite,7,28,Alfabetico,false,JUtil,true,109
falselettereLite,7,28,Alfabetico,false,Brics,true,43
falselettereLite,7,28,Alfabetico,false,BricsOptimized,true,16
falselettereLite,7,28,Alfabetico,false,JRegex,true,170
falselettereLite,8,32,Alfabetico,false,JUtil,true,109
falselettereLite,8,32,Alfabetico,false,Brics,true,42
falselettereLite,8,32,Alfabetico,false,BricsOptimized,true,16
falselettereLite,8,32,Alfabetico,false,JRegex,true,168
falselettereLite,9,36,Alfabetico,false,JUtil,true,131
falselettereLite,9,36,Alfabetico,false,Brics,true,106
falselettereLite,9,36,Alfabetico,false,BricsOptimized,true,22
falselettereLite,9,36,Alfabetico,false,JRegex,true,253
falselettereLite,10,40,Alfabetico,false,JUtil,true,114
falselettereLite,10,40,Alfabetico,false,Brics,true,42
falselettereLite,10,40,Alfabetico,false,BricsOptimized,true,16
falselettereLite,10,40,Alfabetico,false,JRegex,true,173
falselettereLite,11,44,Alfabetico,false,JUtil,true,108
falselettereLite,11,44,Alfabetico,false,Brics,true,42
falselettereLite,11,44,Alfabetico,false,BricsOptimized,true,16
falselettereLite,11,44,Alfabetico,false,JRegex,true,175
falselettereLite,12,48,Alfabetico,false,JUtil,true,109
falselettereLite,12,48,Alfabetico,false,Brics,true,42
falselettereLite,12,48,Alfabetico,false,BricsOptimized,true,16
falselettereLite,12,48,Alfabetico,false,JRegex,true,174
falselettereLite,13,52,Alfabetico,false,JUtil,true,109
falselettereLite,13,52,Alfabetico,false,Brics,true,42
falselettereLite,13,52,Alfabetico,false,BricsOptimized,true,17
falselettereLite,13,52,Alfabetico,false,JRegex,true,175
falselettereLite,14,56,Alfabetico,false,JUtil,true,130
falselettereLite,14,56,Alfabetico,false,Brics,true,106
falselettereLite,14,56,Alfabetico,false,BricsOptimized,true,22
falselettereLite,14,56,Alfabetico,false,JRegex,true,255
falselettereLite,15,60,Alfabetico,false,JUtil,true,109
falselettereLite,15,60,Alfabetico,false,Brics,true,42
falselettereLite,15,60,Alfabetico,false,BricsOptimized,true,16
falselettereLite,15,60,Alfabetico,false,JRegex,true,184
falselettereLite,16,64,Alfabetico,false,JUtil,true,109
falselettereLite,16,64,Alfabetico,false,Brics,true,42
falselettereLite,16,64,Alfabetico,false,BricsOptimized,true,16
falselettereLite,16,64,Alfabetico,false,JRegex,true,183
falselettereLite,17,68,Alfabetico,false,JUtil,true,108
falselettereLite,17,68,Alfabetico,false,Brics,true,43
falselettereLite,17,68,Alfabetico,false,BricsOptimized,true,18
falselettereLite,17,68,Alfabetico,false,JRegex,true,185
falselettereLite,18,72,Alfabetico,false,JUtil,true,108
falselettereLite,18,72,Alfabetico,false,Brics,true,42
falselettereLite,18,72,Alfabetico,false,BricsOptimized,true,16
falselettereLite,18,72,Alfabetico,false,JRegex,true,186
