RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
falseLettereBeginLite,1,4,Alfabetic,false,JUtil,true,134
falseLettereBeginLite,1,4,Alfabetic,false,Brics,true,45
falseLettereBeginLite,1,4,Alfabetic,false,BricsOptimized,true,18
falseLettereBeginLite,1,4,Alfabetic,false,JRegex,true,184
falseLettereBeginLite,2,8,Alfabetic,false,JUtil,true,106
falseLettereBeginLite,2,8,Alfabetic,false,Brics,true,43
falseLettereBeginLite,2,8,Alfabetic,false,BricsOptimized,true,15
falseLettereBeginLite,2,8,Alfabetic,false,JRegex,true,166
falseLettereBeginLite,3,12,Alfabetic,false,JUtil,true,105
falseLettereBeginLite,3,12,Alfabetic,false,Brics,true,43
falseLettereBeginLite,3,12,Alfabetic,false,BricsOptimized,true,15
falseLettereBeginLite,3,12,Alfabetic,false,JRegex,true,167
falseLettereBeginLite,4,16,Alfabetic,false,JUtil,true,109
falseLettereBeginLite,4,16,Alfabetic,false,Brics,true,40
falseLettereBeginLite,4,16,Alfabetic,false,BricsOptimized,true,18
falseLettereBeginLite,4,16,Alfabetic,false,JRegex,true,166
falseLettereBeginLite,5,20,Alfabetic,false,JUtil,true,106
falseLettereBeginLite,5,20,Alfabetic,false,Brics,true,43
falseLettereBeginLite,5,20,Alfabetic,false,BricsOptimized,true,15
falseLettereBeginLite,5,20,Alfabetic,false,JRegex,true,168
falseLettereBeginLite,6,24,Alfabetic,false,JUtil,true,106
falseLettereBeginLite,6,24,Alfabetic,false,Brics,true,44
falseLettereBeginLite,6,24,Alfabetic,false,BricsOptimized,true,15
falseLettereBeginLite,6,24,Alfabetic,false,JRegex,true,168
falseLettereBeginLite,7,28,Alfabetic,false,JUtil,true,108
falseLettereBeginLite,7,28,Alfabetic,false,Brics,true,40
falseLettereBeginLite,7,28,Alfabetic,false,BricsOptimized,true,18
falseLettereBeginLite,7,28,Alfabetic,false,JRegex,true,170
falseLettereBeginLite,8,32,Alfabetic,false,JUtil,true,107
falseLettereBeginLite,8,32,Alfabetic,false,Brics,true,43
falseLettereBeginLite,8,32,Alfabetic,false,BricsOptimized,true,15
falseLettereBeginLite,8,32,Alfabetic,false,JRegex,true,169
falseLettereBeginLite,9,36,Alfabetic,false,JUtil,true,109
falseLettereBeginLite,9,36,Alfabetic,false,Brics,true,41
falseLettereBeginLite,9,36,Alfabetic,false,BricsOptimized,true,18
falseLettereBeginLite,9,36,Alfabetic,false,JRegex,true,168
falseLettereBeginLite,10,40,Alfabetic,false,JUtil,true,110
falseLettereBeginLite,10,40,Alfabetic,false,Brics,true,40
falseLettereBeginLite,10,40,Alfabetic,false,BricsOptimized,true,18
falseLettereBeginLite,10,40,Alfabetic,false,JRegex,true,173
falseLettereBeginLite,11,44,Alfabetic,false,JUtil,true,107
falseLettereBeginLite,11,44,Alfabetic,false,Brics,true,43
falseLettereBeginLite,11,44,Alfabetic,false,BricsOptimized,true,15
falseLettereBeginLite,11,44,Alfabetic,false,JRegex,true,177
falseLettereBeginLite,12,48,Alfabetic,false,JUtil,true,109
falseLettereBeginLite,12,48,Alfabetic,false,Brics,true,41
