RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
falseLettereEndLite,1,4,Alfabetic,false,JUtil,true,185
falseLettereEndLite,1,4,Alfabetic,false,Brics,true,137
falseLettereEndLite,1,4,Alfabetic,false,BricsOptimized,true,33
falseLettereEndLite,1,4,Alfabetic,false,JRegex,true,284
falseLettereEndLite,2,8,Alfabetic,false,JUtil,true,183
falseLettereEndLite,2,8,Alfabetic,false,Brics,true,242
falseLettereEndLite,2,8,Alfabetic,false,BricsOptimized,true,40
falseLettereEndLite,2,8,Alfabetic,false,JRegex,true,422
falseLettereEndLite,3,12,Alfabetic,false,JUtil,true,190
falseLettereEndLite,3,12,Alfabetic,false,Brics,true,372
falseLettereEndLite,3,12,Alfabetic,false,BricsOptimized,true,56
falseLettereEndLite,3,12,Alfabetic,false,JRegex,true,567
falseLettereEndLite,4,16,Alfabetic,false,JUtil,true,207
falseLettereEndLite,4,16,Alfabetic,false,Brics,true,487
falseLettereEndLite,4,16,Alfabetic,false,BricsOptimized,true,67
falseLettereEndLite,4,16,Alfabetic,false,JRegex,true,709
falseLettereEndLite,5,20,Alfabetic,false,JUtil,true,221
falseLettereEndLite,5,20,Alfabetic,false,Brics,true,606
falseLettereEndLite,5,20,Alfabetic,false,BricsOptimized,true,82
falseLettereEndLite,5,20,Alfabetic,false,JRegex,true,857
falseLettereEndLite,6,24,Alfabetic,false,JUtil,true,237
falseLettereEndLite,6,24,Alfabetic,false,Brics,true,726
falseLettereEndLite,6,24,Alfabetic,false,BricsOptimized,true,99
falseLettereEndLite,6,24,Alfabetic,false,JRegex,true,1013
falseLettereEndLite,7,28,Alfabetic,false,JUtil,true,255
falseLettereEndLite,7,28,Alfabetic,false,Brics,true,832
falseLettereEndLite,7,28,Alfabetic,false,BricsOptimized,true,121
falseLettereEndLite,7,28,Alfabetic,false,JRegex,true,1163
falseLettereEndLite,8,32,Alfabetic,false,JUtil,true,263
falseLettereEndLite,8,32,Alfabetic,false,Brics,true,962
falseLettereEndLite,8,32,Alfabetic,false,BricsOptimized,true,143
falseLettereEndLite,8,32,Alfabetic,false,JRegex,true,1298
falseLettereEndLite,9,36,Alfabetic,false,JUtil,true,280
falseLettereEndLite,9,36,Alfabetic,false,Brics,true,1084
falseLettereEndLite,9,36,Alfabetic,false,BricsOptimized,true,163
falseLettereEndLite,9,36,Alfabetic,false,JRegex,true,1468
falseLettereEndLite,10,40,Alfabetic,false,JUtil,true,303
falseLettereEndLite,10,40,Alfabetic,false,Brics,true,1163
falseLettereEndLite,10,40,Alfabetic,false,BricsOptimized,true,182
falseLettereEndLite,10,40,Alfabetic,false,JRegex,true,1584
falseLettereEndLite,11,44,Alfabetic,false,JUtil,true,310
falseLettereEndLite,11,44,Alfabetic,false,Brics,true,1306
falseLettereEndLite,11,44,Alfabetic,false,BricsOptimized,true,204
falseLettereEndLite,11,44,Alfabetic,false,JRegex,true,1727
falseLettereEndLite,12,48,Alfabetic,false,JUtil,true,330
falseLettereEndLite,12,48,Alfabetic,false,Brics,true,1428
falseLettereEndLite,12,48,Alfabetic,false,BricsOptimized,true,223
falseLettereEndLite,12,48,Alfabetic,false,JRegex,true,1870
falseLettereEndLite,13,52,Alfabetic,false,JUtil,true,341
falseLettereEndLite,13,52,Alfabetic,false,Brics,true,1536
falseLettereEndLite,13,52,Alfabetic,false,BricsOptimized,true,244
falseLettereEndLite,13,52,Alfabetic,false,JRegex,true,2010
falseLettereEndLite,14,56,Alfabetic,false,JUtil,true,355
falseLettereEndLite,14,56,Alfabetic,false,Brics,true,1654
falseLettereEndLite,14,56,Alfabetic,false,BricsOptimized,true,266
falseLettereEndLite,14,56,Alfabetic,false,JRegex,true,2161
falseLettereEndLite,15,60,Alfabetic,false,JUtil,true,370
falseLettereEndLite,15,60,Alfabetic,false,Brics,true,1803
falseLettereEndLite,15,60,Alfabetic,false,BricsOptimized,true,289
falseLettereEndLite,15,60,Alfabetic,false,JRegex,true,2305
falseLettereEndLite,16,64,Alfabetic,false,JUtil,true,381
falseLettereEndLite,16,64,Alfabetic,false,Brics,true,1921
falseLettereEndLite,16,64,Alfabetic,false,BricsOptimized,true,308
falseLettereEndLite,16,64,Alfabetic,false,JRegex,true,2450
falseLettereEndLite,17,68,Alfabetic,false,JUtil,true,402
falseLettereEndLite,17,68,Alfabetic,false,Brics,true,2009
falseLettereEndLite,17,68,Alfabetic,false,BricsOptimized,true,326
falseLettereEndLite,17,68,Alfabetic,false,JRegex,true,2591
falseLettereEndLite,18,72,Alfabetic,false,JUtil,true,405
falseLettereEndLite,18,72,Alfabetic,false,Brics,true,2188
falseLettereEndLite,18,72,Alfabetic,false,BricsOptimized,true,350
falseLettereEndLite,18,72,Alfabetic,false,JRegex,true,2749
falseLettereEndLite,19,76,Alfabetic,false,JUtil,true,435
falseLettereEndLite,19,76,Alfabetic,false,Brics,true,2243
falseLettereEndLite,19,76,Alfabetic,false,BricsOptimized,true,370
falseLettereEndLite,19,76,Alfabetic,false,JRegex,true,2882
falseLettereEndLite,20,80,Alfabetic,false,JUtil,true,445
falseLettereEndLite,20,80,Alfabetic,false,Brics,true,2371
falseLettereEndLite,20,80,Alfabetic,false,BricsOptimized,true,391
falseLettereEndLite,20,80,Alfabetic,false,JRegex,true,3018
falseLettereEndLite,21,84,Alfabetic,false,JUtil,true,464
falseLettereEndLite,21,84,Alfabetic,false,Brics,true,2474
falseLettereEndLite,21,84,Alfabetic,false,BricsOptimized,true,411
falseLettereEndLite,21,84,Alfabetic,false,JRegex,true,3165
falseLettereEndLite,22,88,Alfabetic,false,JUtil,true,483
falseLettereEndLite,22,88,Alfabetic,false,Brics,true,2579
falseLettereEndLite,22,88,Alfabetic,false,BricsOptimized,true,433
falseLettereEndLite,22,88,Alfabetic,false,JRegex,true,3311
falseLettereEndLite,23,92,Alfabetic,false,JUtil,true,489
falseLettereEndLite,23,92,Alfabetic,false,Brics,true,2734
falseLettereEndLite,23,92,Alfabetic,false,BricsOptimized,true,457
falseLettereEndLite,23,92,Alfabetic,false,JRegex,true,3452
falseLettereEndLite,24,96,Alfabetic,false,JUtil,true,504
falseLettereEndLite,24,96,Alfabetic,false,Brics,true,2858
falseLettereEndLite,24,96,Alfabetic,false,BricsOptimized,true,474
falseLettereEndLite,24,96,Alfabetic,false,JRegex,true,3638
falseLettereEndLite,25,100,Alfabetic,false,JUtil,true,520
falseLettereEndLite,25,100,Alfabetic,false,Brics,true,2968
falseLettereEndLite,25,100,Alfabetic,false,BricsOptimized,true,496
falseLettereEndLite,25,100,Alfabetic,false,JRegex,true,3743
falseLettereEndLite,26,104,Alfabetic,false,JUtil,true,541
falseLettereEndLite,26,104,Alfabetic,false,Brics,true,3060
falseLettereEndLite,26,104,Alfabetic,false,BricsOptimized,true,512
falseLettereEndLite,26,104,Alfabetic,false,JRegex,true,3886
falseLettereEndLite,27,108,Alfabetic,false,JUtil,true,544
falseLettereEndLite,27,108,Alfabetic,false,Brics,true,3230
falseLettereEndLite,27,108,Alfabetic,false,BricsOptimized,true,535
falseLettereEndLite,27,108,Alfabetic,false,JRegex,true,4097
falseLettereEndLite,28,112,Alfabetic,false,JUtil,true,585
falseLettereEndLite,28,112,Alfabetic,false,Brics,true,3351
falseLettereEndLite,28,112,Alfabetic,false,BricsOptimized,true,555
falseLettereEndLite,28,112,Alfabetic,false,JRegex,true,4171
falseLettereEndLite,29,116,Alfabetic,false,JUtil,true,591
falseLettereEndLite,29,116,Alfabetic,false,Brics,true,3416
falseLettereEndLite,29,116,Alfabetic,false,BricsOptimized,true,574
falseLettereEndLite,29,116,Alfabetic,false,JRegex,true,4367
falseLettereEndLite,30,120,Alfabetic,false,JUtil,true,602
