RegexName,TestCase,TCLength,RegexType,ExpectedValue,Library,Result,Time
falseNumeriBeginLite,1,4,Numeric,false,JUtil,true,134
falseNumeriBeginLite,1,4,Numeric,false,Brics,true,45
falseNumeriBeginLite,1,4,Numeric,false,BricsOptimized,true,18
falseNumeriBeginLite,1,4,Numeric,false,JRegex,true,181
falseNumeriBeginLite,2,8,Numeric,false,JUtil,true,110
falseNumeriBeginLite,2,8,Numeric,false,Brics,true,37
falseNumeriBeginLite,2,8,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,2,8,Numeric,false,JRegex,true,165
falseNumeriBeginLite,3,12,Numeric,false,JUtil,true,109
falseNumeriBeginLite,3,12,Numeric,false,Brics,true,39
falseNumeriBeginLite,3,12,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,3,12,Numeric,false,JRegex,true,168
falseNumeriBeginLite,4,16,Numeric,false,JUtil,true,107
falseNumeriBeginLite,4,16,Numeric,false,Brics,true,40
falseNumeriBeginLite,4,16,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,4,16,Numeric,false,JRegex,true,166
falseNumeriBeginLite,5,20,Numeric,false,JUtil,true,109
falseNumeriBeginLite,5,20,Numeric,false,Brics,true,40
falseNumeriBeginLite,5,20,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,5,20,Numeric,false,JRegex,true,166
falseNumeriBeginLite,6,24,Numeric,false,JUtil,true,109
falseNumeriBeginLite,6,24,Numeric,false,Brics,true,40
falseNumeriBeginLite,6,24,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,6,24,Numeric,false,JRegex,true,169
falseNumeriBeginLite,7,28,Numeric,false,JUtil,true,109
falseNumeriBeginLite,7,28,Numeric,false,Brics,true,38
falseNumeriBeginLite,7,28,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,7,28,Numeric,false,JRegex,true,172
falseNumeriBeginLite,8,32,Numeric,false,JUtil,true,107
falseNumeriBeginLite,8,32,Numeric,false,Brics,true,40
falseNumeriBeginLite,8,32,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,8,32,Numeric,false,JRegex,true,170
falseNumeriBeginLite,9,36,Numeric,false,JUtil,true,109
falseNumeriBeginLite,9,36,Numeric,false,Brics,true,39
falseNumeriBeginLite,9,36,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,9,36,Numeric,false,JRegex,true,172
falseNumeriBeginLite,10,40,Numeric,false,JUtil,true,107
falseNumeriBeginLite,10,40,Numeric,false,Brics,true,40
falseNumeriBeginLite,10,40,Numeric,false,BricsOptimized,true,15
falseNumeriBeginLite,10,40,Numeric,false,JRegex,true,172
falseNumeriBeginLite,11,44,Numeric,false,JUtil,true,108
falseNumeriBeginLite,11,44,Numeric,false,Brics,true,40
